Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
EHRData,Electronic Health Record (EHR) Data,Information about electronic health record data,pd:HealthRecord,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
SocioeconomicHealthDeterminant,Socioeconomic Health Determinant,Information about socioeconomic data impacting on health,pd:Health,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
EnvironmentalHealthDeterminant,Environmental Health Determinant,Information about environmental data impacting on health,pd:Health,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
BehaviouralHealthDeterminant,Behavioural Health Determinant,Information about behavioural data impacting on health,pd:Health,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
HealthAggregatedData,Health Aggregated Data,Information about aggregated data related to health and healthcare,pd:Health,dpv:AggregatedData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
PathogenData,Pathogen Data,"Information about relevant pathogen data, impacting on human health",,dpv:NonPersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
HealthAdminData,Health-related Administrative Data,Information about health-related administrative data,pd:MedicalHealth,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
ClaimAdminData,Health-related Administrative Data on Claims,Information about health-related administrative data on claims,sector-health:HealthAdminData,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
ReimbursementAdminData,Health-related Administrative Data on Reimbursements,Information about health-related administrative data on reimbursements,sector-health:HealthAdminData,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
DispensationAdminData,Health-related Administrative Data on Dispensations,Information about health-related administrative data on dispensations,sector-health:HealthAdminData,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
GenomicData,Genomic Data,Information about genomic data,pd:Genetic,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
EpigenomicData,Epigenomic Data,Information about epigenomic data,pd:Genetic,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
ProteomicData,Proteomic Data,Information about proteomic data,pd:Molecular,dpv:PersonalData,,,,,,2026-02-04,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
