Term,Label,Type,Jurisdictions,Webpage,Laws,Start,End,Created,Modified,Status,Contributors,Resolution
Laws,,,,,,,,,,,,
law-BDSG,Federal Data Protection Act (BDSG),dpv:Law,loc:DE,https://www.gesetze-im-internet.de/bdsg_2018/,,2019-11-20,,2022-03-30,,accepted,"Julian Flake,Harshvardhan J. Pandit",https://www.w3.org/2022/03/30-dpvcg-minutes.html
law-BE-BbgDSG,Brandenburg Data Protection Act (BbgDSG),dpv:Law,loc:DE-BB,https://www.lda.brandenburg.de/sixcms/media.php/9/BbgDSG_2019.pdf,,,,2022-03-30,,accepted,"Julian Flake,Harshvardhan J. Pandit",https://www.w3.org/2022/03/30-dpvcg-minutes.html
law-BE-BlnDSG,Berlin Data Protection Act (BlnDSG),dpv:Law,loc:DE-BE,https://www.datenschutz-berlin.de/fileadmin/user_upload/pdf/publikationen/informationsmaterialien/2018-BlnBDI_BlnDSG.pdf,,,,2022-03-30,,accepted,"Julian Flake,Harshvardhan J. Pandit",https://www.w3.org/2022/03/30-dpvcg-minutes.html
law-BW-LDSG,State Data Protection Act (LDSG) (BW),dpv:Law,loc:DE-BW,https://www.baden-wuerttemberg.datenschutz.de/wp-content/uploads/2018/06/LDSG-neu-GBl-2018173.pdf,,,,2022-03-30,,accepted,"Julian Flake,Harshvardhan J. Pandit",https://www.w3.org/2022/03/30-dpvcg-minutes.html
law-BY-BayDSG,Bavarian Data Protection Act (BayDSG),dpv:Law,loc:DE-BY,https://www.datenschutz-bayern.de/datenschutzreform2018/BayDSG.pdf,,,,2022-03-30,,accepted,"Julian Flake,Harshvardhan J. Pandit",https://www.w3.org/2022/03/30-dpvcg-minutes.html
law-HB-BremDSGVOAG,Bremen Implementing Act for the EU General Data Protection Regulation (BremDSGVOAG),dpv:Law,loc:DE-HB,https://www.transparenz.bremen.de/metainformationen/bremisches-ausfuehrungsgesetz-zur-eu-datenschutz-grundverordnung-bremdsgvoag-vom-8-mai-2018-116884?template=20_gp_ifg_meta_detail_d,,,,2022-03-30,,accepted,"Julian Flake,Harshvardhan J. Pandit",https://www.w3.org/2022/03/30-dpvcg-minutes.html
law-HE-HDISG,Hessian Data Protection and Freedom of Information Act (HDSIG),dpv:Law,loc:DE-HE,https://www.rv.hessenrecht.hessen.de/bshe/document/jlr-DSIFGHErahmen,,,,2022-03-30,,accepted,"Julian Flake,Harshvardhan J. Pandit",https://www.w3.org/2022/03/30-dpvcg-minutes.html
law-HH-HmbDSG,Hamburg Data Protection Act (HmbDSG),dpv:Law,loc:DE-HH,https://datenschutz-hamburg.de/assets/pdf/HmbDSG_neu.pdf,,,,2022-03-30,,accepted,"Julian Flake,Harshvardhan J. Pandit",https://www.w3.org/2022/03/30-dpvcg-minutes.html
law-LSA-DSG,Law on the protection of personal data of citizens (Saxony-Anhalt Data Protection Act - DSG LSA),dpv:Law,loc:DE-ST,https://www.landtag.sachsen-anhalt.de/fileadmin/Downloads/Rechtsgrundlagen/2018_Datenschutzgesetz-DSG-LSA.pdf,,,,2022-03-30,,accepted,"Julian Flake,Harshvardhan J. Pandit",https://www.w3.org/2022/03/30-dpvcg-minutes.html
law-MV-DSG,Act to adapt the State Data Protection Act and other data protection regulations in the area of ​​responsibility of the Ministry of the Interior and Europe Mecklenburg-West Pomerania to Regulation (EU) 2016/679 and to implement Directive (EU) 2016/680,dpv:Law,loc:DE-MV,https://www.datenschutz-mv.de/static/DS/Dateien/Rechtsgrundlagen/Landesdatenschutzgesetz.pdf,,,,2022-03-30,,accepted,"Julian Flake,Harshvardhan J. Pandit",https://www.w3.org/2022/03/30-dpvcg-minutes.html
law-NI-NDSG,Lower Saxony Data Protection Act (NDSG),dpv:Law,loc:DE-NI,https://lfd.niedersachsen.de/download/132258/Niedersaechsisches_Datenschutzgesetz_NDSG_vom_16._Mai_2018_Nds._GVBl._S._66_.pdf,,,,2022-03-30,,accepted,"Julian Flake,Harshvardhan J. Pandit",https://www.w3.org/2022/03/30-dpvcg-minutes.html
law-NW-DSG,North Rhine-Westphalia Data Protection Act (DSG NRW),dpv:Law,loc:DE-NW,https://recht.nrw.de/lmi/owa/br_text_anzeigen?v_id=3520071121100436275,,,,2022-03-30,,accepted,"Julian Flake,Harshvardhan J. Pandit",https://www.w3.org/2022/03/30-dpvcg-minutes.html
law-RP-LDSG,State Data Protection Act (LDSG),dpv:Law,loc:DE-RP,https://landesrecht.rlp.de/bsrp/document/jlr-DSGRP2018pP18,,,,2022-03-30,,accepted,"Julian Flake,Harshvardhan J. Pandit",https://www.w3.org/2022/03/30-dpvcg-minutes.html
law-SH-LDSG,Schleswig-Holstein law for the protection of personal data (state data protection law - LDSG),dpv:Law,loc:DE-SH,https://www.gesetze-rechtsprechung.sh.juris.de/jportal/?quelle=jlink&query=DSG+SH&psml=bsshoprod.psml&max=true&aiz=true,,,,2022-03-30,,accepted,"Julian Flake,Harshvardhan J. Pandit",https://www.w3.org/2022/03/30-dpvcg-minutes.html
law-SL-SDSG,Saarland Data Protection Act,dpv:Law,loc:DE-SL,https://recht.saarland.de/bssl/document/jlr-DSGSL2018rahmen,,,,2022-03-30,,accepted,"Julian Flake,Harshvardhan J. Pandit",https://www.w3.org/2022/03/30-dpvcg-minutes.html
law-SN-SächsDSG,Law for the Protection of Informational Self-Determination in the Free State of Saxony (Saxon Data Protection Act - SächsDSG),dpv:Law,loc:DE-SN,https://www.recht.sachsen.de/vorschrift_gesamt/1672/28005.pdf,,,,2022-03-30,,accepted,"Julian Flake,Harshvardhan J. Pandit",https://www.w3.org/2022/03/30-dpvcg-minutes.html
law-TH-ThürDSG,Thuringian Data Protection Act (ThürDSG),dpv:Law,loc:DE-TH,https://landesrecht.thueringen.de/bsth/document/jlr-DSGTH2018rahmen,,,,2022-03-30,,accepted,"Julian Flake,Harshvardhan J. Pandit",https://www.w3.org/2022/03/30-dpvcg-minutes.html

Authorities,,,,,,,,,,,,
DPA-DE,The Federal Commissioner for Data Protection and Freedom of Information,"dpv:Authority,dpv:DataProtectionAuthority",loc:DE,http://www.bfdi.bund.de/,"legal-de:law-BDSG,legal-eu:law-GDPR",,,2022-03-30,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/03/30-dpvcg-minutes.html,,,,,,,,,,
