Term,Label,Type,Jurisdictions,Webpage,Laws,Start,End,Created,Modified,Status,Contributors,Resolution
Laws,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Authorities,,,,,,,,,,,,
DPA-ES,Data Protection Agency (AEPD),dpv:DataProtectionAuthority,loc:ES,https://www.aepd.es/,legal-eu:law-GDPR,,,2024-08-02,,accepted,,
DPA-ES-AN,Transparency and Data Protection Council of Andalusia (CTPDA),dpv:DataProtectionAuthority,loc:ES-AN,https://www.ctpdandalucia.es/,legal-eu:law-GDPR,,,,,,,
DPA-ES-PV,Basque Data Protection Office (AVPD/DBED),dpv:DataProtectionAuthority,loc:ES-PV,https://www.avpd.eus/,legal-eu:law-GDPR,,,,,,,
DPA-ES-CT,Catalan Data Protection Authority (APDCAT),dpv:DataProtectionAuthority,loc:ES-CT,https://apdcat.gencat.cat/,legal-eu:law-GDPR,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
