Term,Label,Type,Jurisdictions,Webpage,Laws,Start,End,Created,Modified,Status,Contributors,Resolution
Laws,,,,,,,,,,,,
law-DPA,Data Protection Act 2018 (DPA),dpv:Law,loc:IE,https://www.irishstatutebook.ie/eli/2018/act/7/enacted/en/html,,2018-05-24,,2024-02-14,,accepted,,
,,,,,,,,,,,,
Authorities,,,,,,,,,,,,
DPA-IE,Data Protection Commission (DPC),dpv:DataProtectionAuthority,loc:IE,https://www.dataprotection.ie/,"legal-ie:law-DPA,legal-eu:law-GDPR",,,2024-02-14,,accepted,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
