Term,Label,Type,Jurisdictions,Webpage,Laws,Start,End,Created,Modified,Status,Contributors,Resolution
Laws,,,,,,,,,,,,
law-DPDP,Digital Personal Data Protection Act 2023 (DPDP),dpv:Law,loc:IN,https://www.meity.gov.in/content/digital-personal-data-protection-act-2023,,2023-08-11,,2024-02-14,,accepted,,
,,,,,,,,,,,,
Authorities,,,,,,,,,,,,
DPA-IN,Data Protection Board of India,dpv:DataProtectionAuthority,loc:IN,,legal-in:law-DPDP,,,2024-02-14,,accepted,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
