Term,Label,Type,Jurisdictions,Webpage,Laws,Start,End,Created,Modified,Status,Contributors,Resolution
Laws,,,,,,,,,,,,
law-CA-CCPA,California Consumer Privacy Act (CCPA),dpv:Law,loc:US-CA,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB375,,2020-01-01,2022-03-30,,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/03/30-dpvcg-minutes.html
law-CA-CPRA,California Privacy Rights Act (CPRA),dpv:Law,loc:US-CA,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB375,,2023-01-01,2022-03-30,,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/03/30-dpvcg-minutes.html
law-UT-UCPA,Utah Consumer Privacy Act (UCPA),dpv:Law,loc:US-UT,https://le.utah.gov/~2022/bills/static/SB0227.html,,2023-12-31,2022-11-22,,,accepted,Jonathan Bowker,
law-VA-VCDPA,Virginia Consumer Data Protection Act (VCDPA),dpv:Law,loc:US-VA,https://lis.virginia.gov/cgi-bin/legp604.exe?212+sum+HB2307,,2023-01-01,2022-11-23,,,accepted,Jonathan Bowker,
law-CO-CPA,Colorado Privacy Act (CPA),dpv:Law,loc:US-CO,https://leg.colorado.gov/bills/sb21-190,,2024-01-07,2022-11-23,,,accepted,Jonathan Bowker,
law-CT-CTPA,Connecticut Data Privacy Act (CTPA),dpv:Law,loc:US-CT,https://www.cga.ct.gov/2022/ACT/PA/PDF/2022PA-00015-R00SB-00006-PA.PDF,,2023-01-07,2022-11-23,,,accepted,Jonathan Bowker,
law-NV-NPICICA,Nevada Privacy of Information Collected on the Internet from Consumers Act (NPICICA),dpv:Law,loc:US-NV,https://www.leg.state.nv.us/NRS/NRS-603A.html,,2021-01-10,2022-11-23,,,accepted,Jonathan Bowker,

Authorities,,,,,,,,,,,,
DPA-US-UT,Utah Attorney General,"dpv:DataProtectionAuthority,dpv:Authority",loc:US-UT,https://attorneygeneral.utah.gov/,legal-us:law-UT-UCPA,,2022-11-22,,,accepted,Jonathan Bowker,
DPA-US-VA,Virginia Attorney General,"dpv:DataProtectionAuthority,dpv:Authority",loc:US-VA,https://www.oag.state.va.us,legal-us:law-VA-VCDPA,,2022-11-23,,,accepted,Jonathan Bowker,
DPA-US-CO,Colorado Attorney General,"dpv:DataProtectionAuthority,dpv:Authority",loc:US-CO,https://coag.gov,legal-us:law-CO-CPA,,2022-11-23,,,accepted,Jonathan Bowker,
DPA-US-CT,Connecticut Attorney General,"dpv:DataProtectionAuthority,dpv:Authority",loc:US-CT,https://portal.ct.gov/AG,legal-us:law-CT-CTPA,,2022-11-23,,,accepted,Jonathan Bowker,
DPA-US-NV,Nevada Attorney General,"dpv:DataProtectionAuthority,dpv:Authority",loc:US-NV,https://ag.nv.gov/,legal-us:law-NV-NPICICA,,2022-11-23,,,accepted,Jonathan Bowker,
DPA-US-CA,California Privacy Protection Agency (CPPA),"dpv:DataProtectionAuthority,dpv:Authority",loc:US-CA,https://cppa.ca.gov/,"legal-us:law-CA-CCPA,legal-us:law-CA-CPRA",,2023-12-13,,,accepted,,
