Term,ParentType,InverseLocation,Status
AD,dpv:Country,non-AD,accepted
AE,dpv:Country,non-AE,accepted
AF,dpv:Country,non-AF,accepted
AG,dpv:Country,non-AG,accepted
AI,dpv:Country,non-AI,accepted
AL,dpv:Country,non-AL,accepted
AM,dpv:Country,non-AM,accepted
AO,dpv:Country,non-AO,accepted
AQ,dpv:Country,non-AQ,accepted
AR,dpv:Country,non-AR,accepted
AS,dpv:Country,non-AS,accepted
AT,dpv:Country,non-AT,accepted
AU,dpv:Country,non-AU,accepted
AW,dpv:Country,non-AW,accepted
AX,dpv:Country,non-AX,accepted
AZ,dpv:Country,non-AZ,accepted
BA,dpv:Country,non-BA,accepted
BB,dpv:Country,non-BB,accepted
BD,dpv:Country,non-BD,accepted
BE,dpv:Country,non-BE,accepted
BF,dpv:Country,non-BF,accepted
BG,dpv:Country,non-BG,accepted
BH,dpv:Country,non-BH,accepted
BI,dpv:Country,non-BI,accepted
BJ,dpv:Country,non-BJ,accepted
BL,dpv:Country,non-BL,accepted
BM,dpv:Country,non-BM,accepted
BN,dpv:Country,non-BN,accepted
BO,dpv:Country,non-BO,accepted
BQ,dpv:Country,non-BQ,accepted
BR,dpv:Country,non-BR,accepted
BS,dpv:Country,non-BS,accepted
BT,dpv:Country,non-BT,accepted
BV,dpv:Country,non-BV,accepted
BW,dpv:Country,non-BW,accepted
BY,dpv:Country,non-BY,accepted
BZ,dpv:Country,non-BZ,accepted
CA,dpv:Country,non-CA,accepted
CC,dpv:Country,non-CC,accepted
CD,dpv:Country,non-CD,accepted
CF,dpv:Country,non-CF,accepted
CG,dpv:Country,non-CG,accepted
CH,dpv:Country,non-CH,accepted
CI,dpv:Country,non-CI,accepted
CK,dpv:Country,non-CK,accepted
CL,dpv:Country,non-CL,accepted
CM,dpv:Country,non-CM,accepted
CN,dpv:Country,non-CN,accepted
CO,dpv:Country,non-CO,accepted
CR,dpv:Country,non-CR,accepted
CU,dpv:Country,non-CU,accepted
CV,dpv:Country,non-CV,accepted
CW,dpv:Country,non-CW,accepted
CX,dpv:Country,non-CX,accepted
CY,dpv:Country,non-CY,accepted
CZ,dpv:Country,non-CZ,accepted
DE,dpv:Country,non-DE,accepted
DJ,dpv:Country,non-DJ,accepted
DK,dpv:Country,non-DK,accepted
DM,dpv:Country,non-DM,accepted
DO,dpv:Country,non-DO,accepted
DZ,dpv:Country,non-DZ,accepted
EC,dpv:Country,non-EC,accepted
EE,dpv:Country,non-EE,accepted
EG,dpv:Country,non-EG,accepted
EH,dpv:Country,non-EH,accepted
ER,dpv:Country,non-ER,accepted
ES,dpv:Country,non-ES,accepted
ET,dpv:Country,non-ET,accepted
FI,dpv:Country,non-FI,accepted
FJ,dpv:Country,non-FJ,accepted
FK,dpv:Country,non-FK,accepted
FM,dpv:Country,non-FM,accepted
FO,dpv:Country,non-FO,accepted
FR,dpv:Country,non-FR,accepted
GA,dpv:Country,non-GA,accepted
GB,dpv:Country,non-GB,accepted
GD,dpv:Country,non-GD,accepted
