Term,Label,Definition,domain,range,ParentProperty,RelatedTerms,Relation,Usage,Source,CreationDate,Modified,Status,Contributors,Resolution,,,,,,,,,,,,,,,
hasPrivacyTerm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hasServiceDeliveryTerm,has service delivery term,Relation that associates a Service Delivery Term,,p7012:ServiceDeliveryTerm,,,,,,,,,,,,,,,,,,,,,,,,,
hasTrackingTerm,has tracking term,Relation that associates a Tracking Term,,p7012:TrackingTerm,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
hasProfilingTerm,has profiling term,Relation that associates a Profiling Term,,p7012:ProfilingTerm,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
hasDataSharingTerm,has data sharing term,Relation that associates a Data Sharing Term,,p7012:DataSharingTerm,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
hasDeonticInterpretation,has deontic interpretation,Relation that indicates the Deontic Interpretation Term that should be used,,p7012:DeonticInterpretationTerm,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
hasConflictResolution,has conflict resolution,Relation that indicates the Conflict Resolution Term that should be used,,p7012:ConflictResolutionTerm,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
hasAgentBehaviour,has agent behaviour,Relation that indicates the behaviour of Privacy Agents,,p7012:AgentBehaviour,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
hasPreferenceApplicability,has preference applicability,Relation that indicates the applicability of Privacy Preference(s),,p7012:PreferenceApplicability,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
hasPortabilityTerm,has portability term,Relation that associates a Portability Term,,p7012:PortabilityTerm,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
hasTransparencyTerm,has transparency term,Relation that associates a Transparency Term,,p7012:TransparencyTerm,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
