Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution,,,,,,,,,,,,,,,
Agreement,Agreement,"A compound set of terms or clauses, proposed and offered before a formal contract between parties, and also referred to as a ""proposal"" pr ""proposed agreement""",dpv:ContractualClause,sc,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
AgreementRegistry,Agreement Term Registry,A registry hosting agreements that acts as a common repository for parties to utilise as a reference within requests and for negotiating acceptable terms,,,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
AgreementPreference,Agreement Preference,"A preference regarding agreements, such as to indicate which terms are acceptable or unacceptable",dpv:Rule,sc,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
AgreementNegotiation,Agreement Negotiation,A negotiation between parties regarding an agreement,dpv:Process,sc,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
AgreementNegotiationRequest,Agreement Negotiation Request,A request to initiate negotiation with the goal of finding an acceptable agreement,dpv:Process,sc,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
P7012Endpoint,P7012 Endpoint,"A location that acts as an endpoint, such as a URL, for carrying out communications and interactions between parties as defined in P7012",dpv:Location,sc,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
AgreementInteractionRecord,Agreement Interaction Record,"A record of a interactions conducted in the course of establishing and negotiating agreements, including failed attemps, creation of contracts, and subsequent interactions",dpv:RecordsOfActivities,sc,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
from P7012 text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PrivacyTermChooser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PrivacyTermProposer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PrivacyTermRecorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
