Term,Label,Definition,domain,range,ParentProperty,RelatedTerms,Relation,Usage,Source,CreationDate,Modified,Status,Contributors,Resolution
hasProvider,has provider,Indicates technology provider,dpv:Technology,tech:Provider,tech:hasTechnologyActor,,,,,2024-05-09,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,
hasProducer,has producer,Indicates technology producer,dpv:Technology,tech:Producer,tech:hasTechnologyActor,,,,,2024-05-09,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,
hasDeveloper,has developer,Indicates technology developer,dpv:Technology,tech:Developer,tech:hasTechnologyActor,,,,,2024-05-09,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,
hasCustomer,has customer,Indicates technology customer,dpv:Technology,tech:Customer,tech:hasTechnologyActor,,,,,2024-05-09,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,
hasUser,has user,Indicates technology user,dpv:Technology,tech:User,tech:hasTechnologyActor,,,,,2024-05-09,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,
hasSubject,has subject,Indicates technology subject,dpv:Technology,tech:Subject,tech:hasTechnologyActor,,,,,2024-05-09,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,
hasDeployer,has deployer,Indicates technology deployer,dpv:Technology,tech:Deployer,tech:hasTechnologyActor,,,,,2024-05-09,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,
hasDesigner,has designer,Indicates technology designer,dpv:Technology,tech:Designer,tech:hasTechnologyActor,,,,,2024-05-09,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,
hasInstaller,has installer,Indicates technology installer,dpv:Technology,tech:Installer,tech:hasTechnologyActor,,,,,2024-05-09,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,
hasMaintainer,has maintainer,Indicates technology maintainer,dpv:Technology,tech:Maintainer,tech:hasTechnologyActor,,,,,2024-05-09,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,
hasManufacturer,has manufacturer,Indicates technology manufacturer,dpv:Technology,tech:Manufacturer,tech:hasTechnologyActor,,,,,2024-05-09,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,
hasOwner,has owner,Indicates technology owner,dpv:Technology,tech:Owner,tech:hasTechnologyActor,,,,,2024-05-09,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,
hasPurchaser,has purchaser,Indicates technology purchaser,dpv:Technology,tech:Purchaser,tech:hasTechnologyActor,,,,,2024-05-09,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,
hasSupplier,has supplier,Indicates technology supplier,dpv:Technology,tech:Supplier,tech:hasTechnologyActor,,,,,2024-05-09,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,
hasPartner,has partner,Indicates technology partner,dpv:Technology,tech:Partner,tech:hasTechnologyActor,,,,,2024-05-09,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,
hasEvaluator,has evaluator,Indicates technology evaluator,dpv:Technology,tech:Evaluator,tech:hasTechnologyActor,,,,,2024-05-09,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,
hasAuditor,has auditor,Indicates technology auditor,dpv:Technology,tech:Auditor,tech:hasTechnologyActor,,,,,2024-05-09,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,
hasSystemIntegrator,has system integrator,Indicates technology system integrator,dpv:Technology,tech:SystemIntegrator,tech:hasTechnologyActor,,,,,2024-05-09,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,



,,,,,,,,,,,,,,
