Term,Label,Definition,domain,range,ParentProperty,RelatedTerms,Relation,Usage,Source,CreationDate,Modified,Status,Contributors,Resolution
hasCommunicationMechanism,has communication mechanism,Indicates communication mechanisms used or provided by technology,dpv:Technology,tech:CommunicationMechanism,dpv:Relation,,,,,2022-07-02,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,
hasActor,has actor,Indicates an actor associated with technology,dpv:Technology,tech:TechnologyActor,dpv:Relation,,,,,2022-10-21,2024-05-17,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,
hasProvisionMethod,has provision method,Specifies the provision or usage method of technology,dpv:Technology,tech:ProvisionMethod,dpv:Relation,,,,,2022-07-02,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,
hasDeploymentLocation,has deployment location,Specifies the location of technology deployment and use,dpv:Technology,tech:DeploymentLocation,dpv:Relation,,,,,2024-05-09,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,
hasCapability,has capability,Indicates the capability of the technology,dpv:Technology,tech:Capability,dpv:Relation,,,,,2024-05-09,,accepted,,,,,,,,,,,,,,,
hasFunction,has function,Indicates the function of the technology,dpv:Technology,tech:Function,dpv:Relation,,,,,2024-05-09,,accepted,,,,,,,,,,,,,,,
hasIntendedUse,has intended use,Indicates the intended use of technology,dpv:Technology,tech:IntendedUse,dpv:Relation,,,,,2024-05-22,,accepted,Harshvardhan J. Pandit,https://w3id.org/dpv/meetings/meeting-2024-05-22,,,,,,,,,,,,,
hasDocumentation,has documentation,Indicates documentation associated with technology,dpv:Technology,tech:Documentation,dpv:Relation,,,,,2024-06-29,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,

,,,,,,,,,,,,,,


 ,,,,,,,,,,,,,,





,,,,,,,,,,,,,,
