Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
Concepts in DPV this extends,,,,,,,,,,,,,,
dpv:Technology,,Technology,dpv:Concept,,,,,,,,,,,
dpv:hasTechnology,,Associates use or applicability of technology,dpv:Relation,,,,,,,,,,,

Core Concepts in dpv-tech,,,,,,,,,,,,,,
DataTechnology,Data Technology,Technology that uses or interacts with data,,dpv:Technology,,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,,,
OperationalTechnology,Operational Technology,Technology that enables or performs or executes operations and processes,,dpv:Technology,,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,,,
SecurityTechnology,Security Technology,Technology that enables or provides security,,dpv:Technology,,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,,,
ManagementTechnology,Management Technology,Technology that enables or provides management,,dpv:Technology,,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,,,
IdentityTechnology,Identity Technology,Technology related to identity or identifiers,,dpv:Technology,,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,,,
SurveillanceTechnology,Surveillance Technology,Technology related to surveillance of individuals or people,,dpv:Technology,,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,,,
TechnologyProvisionMethod,Technology Provision Method,Method associated with provision or use of technology,dpv:Concept,sc,,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,,,
TechnologyActor,Technology Actor,"Actors and Entities involved in provision, use, and management of Technology",dpv:Entity,sc,,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,,,
TechnologyUsageLocation,Technology Usage Location,Location for where technology is provided or used,,dpv:Location,,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,,,
CommunicationMechanism,Communication Mechanism,Communication mechanism used or provided by Technologoy,dpv:Concept,sc,,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,,,
TechnologyReadinessLevel,Technology Readiness Level,Indication of maturity of Technology (ISO 16290:2013),dpv:Concept,sc,,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,,,
