Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
Actors involved in technologies,Actors involved in technologies,,,,,,,,,,,,,
Documentation,,,,,,,,,,,,,,
Manual,Manual,"Documentation that provides instructions for using, maintaining, developing, or performing other activities regarding the technology",,tech:Documentation,,,,,,2024-05-09,,accepted,,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,,,,
Guide,Guide,Documentation that provides guidance regarding the technology,,tech:Documentation,,,,,,2024-05-09,,accepted,,,,,,,,,,,,,,,,,,
Instructions,Instructions,Instructions related to technology,,tech:Documentation,,,,,,2024-05-09,,accepted,,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,,,,
Specification,Specification,Documentation that specifies requirements that must be satisfied by the technology,,tech:Documentation,,,,,,2024-05-09,,accepted,,,,,,,,,,,,,,,,,,
Plan,Plan,"Plan associated with using, maintaining, developing, or performing other activities associated with technology",,tech:Documentation,,,,,,2024-05-09,,accepted,,,,,,,,,,,,,,,,,,
TestingPlan,Testing Plan,Plan associated with testing technology,tech:Plan,tech:Documentation,,,,,,2024-05-09,,accepted,,,,,,,,,,,,,,,,,,
DevelopmentPlan,Development Plan,Plan associated with developing technology,tech:Plan,tech:Documentation,,,,,,2024-05-09,,accepted,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
