Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
InputOutput,Input/Output,Forms of inputs and outputs associated with a technology,,,,,,,,2024-12-17,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
InputData,Input Data,Data that is provided an input to a technology,"tech:Input,dpv:Data",sc,,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
OutputData,Output Data,Data that is produced as an output from a technology,"tech:Output,dpv:Data",sc,,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
Input,Input,Input to a technology,tech:InputOutput,sc,,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
Output,Output,Output from a technology,tech:InputOutput,sc,,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
InputAction,Input Action,Action provided as an input to a technology,"tech:Input,tech:Action",sc,,,,"Action can mean a physical action, such as the movements involved in robotics",,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
OutputAction,Output Action,Action produced as an output from a technology,"tech:Output,tech:Action",sc,,,,"Action can mean a physical action, such as the movements involved in robotics",,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
Action,Action,"A process or activity, which could be physical or virtual",tech:InputOutput,sc,,,,Action is a concept referring to activities or tasks in the context of technologies producing or using them as inputs or outputs,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
Content,Content,Data or information in a particular form and structure,"tech:InputOutput,dpv:Data",sc,,,,Content is a concept referring to information used in the context of technologies producing or using them as inputs or outputs,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
AudioContent,Audio Content,Content that is or has an audio component,tech:Content,sc,,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
VideoContent,Video Content,Content that is or has a video component,tech:Content,sc,,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
TextualContent,Textual Content,Content that is or has a textual component,tech:Content,sc,,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
ImageContent,Image Content,Content that is or has an image component,tech:Content,sc,,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
Decision,Decision,A conclusion or determination of an action or choice in the context of technologies,tech:InputOutput,sc,,,,Decision is a concept referring to activities or tasks in the context of technologies producing or using them as inputs or outputs,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
Prediction,Prediction,An inference or prediction of an action or data or decision in the context of technologies,tech:InputOutput,sc,,,,Prediction is a concept referring to activities or tasks in the context of technologies producing or using them as inputs or outputs,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
Recommendation,Recommendation,A recommendation or suggestion of an action or decision or choice in the context of technologies,tech:InputOutput,sc,,,,Recommendation is a concept referring to activities or tasks in the context of technologies producing or using them as inputs or outputs,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
