Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
How technology is provided / used,How technology is provided / used,,,,,,,,,,,,,
TechnologyProvisionMethod,,,,,,,,,,,,,,
ProvidedAsFixedUse,Provided as Fixed UseProvision,Technology provided for using a fixed number of times,,tech:ProvisionMethod,,,,,,2022-06-15,2024-12-01,modified,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,
ProvidedAsSubscription,Provided as SubscriptionProvision,Technology that is provided or used as a periodic subscription,,tech:ProvisionMethod,,,,,,2022-06-15,2024-12-01,modified,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,
ProvidedAsProduct,Provided as ProductProvision,Technology provided as a product,,tech:ProvisionMethod,,,,,,2022-06-15,2024-12-01,modified,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,
ProvidedAsGoods,Provided as GoodsProvision,Technology provided or used as goods,,tech:ProvisionMethod,,,,,,2022-06-15,2024-12-01,modified,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,
ProvidedAsService,Provided as ServiceProvision,Technology provided or used as service(s),,tech:ProvisionMethod,,,,,,2022-06-15,2024-12-01,modified,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,
ProvidedAsAlgorithmic,Provided as AlgorithmicProvision,Technology provided as an algorithm or method,,tech:ProvisionMethod,,,,,,2022-06-15,2024-12-01,modified,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,
ProvidedAsSystem,Provided as SystemProvision,Technology provided as a system,,tech:ProvisionMethod,,,,,,2022-06-15,2024-12-01,modified,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,
ProvidedAsComponent,Provided as ComponentProvision,Technology provided as a component,,tech:ProvisionMethod,,,,,,2022-06-15,2024-12-01,modified,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,
ProvidedAsCloudService,Provided as Cloud ServiceProvision,Technology provided as a cloud service,tech:ProvidedAsService,tech:ProvisionMethod,,,,,,2024-05-09,2024-12-01,modified,Harshvardhan J. Pandit,,,,,,,,,,,,,,
ProvidedAsIaaS,Provided as Infrastructure as a Service (IaaS)Provision,Technology provided as a cloud service consisting of managed infrastructure resources,tech:ProvidedAsCloudService,tech:ProvisionMethod,,,,,,2024-05-09,2024-12-01,modified,Harshvardhan J. Pandit,,,,,,,,,,,,,,
ProvidedAsPaaS,Provided as Platform as a Service (PaaS)Provision,Technology provided as a cloud service consisting of managed platform resources,tech:ProvidedAsCloudService,tech:ProvisionMethod,,,,,,2024-05-09,2024-12-01,modified,Harshvardhan J. Pandit,,,,,,,,,,,,,,
ProvidedAsSaaS,Provided as Software as a Service (SaaS)Provision,Technology provided as a cloud service consisting of managed software resources,tech:ProvidedAsCloudService,tech:ProvisionMethod,,,,,,2024-05-09,2024-12-01,modified,Harshvardhan J. Pandit,,,,,,,,,,,,,,
ProvidedAsCaaS,Provided as Compute as a Service (CaaS)Provision,Technology provided as a cloud service consisting of managed compute resources,tech:ProvidedAsCloudService,tech:ProvisionMethod,,,,,,2024-05-09,2024-12-01,modified,Harshvardhan J. Pandit,,,,,,,,,,,,,,
ProvidedAsMBaaS,Provided as Mobile backend as a ServiceProvision,Technology provided as a cloud service consisting of managed 'backend' services for mobile users,tech:ProvidedAsCloudService,tech:ProvisionMethod,,,,,,2024-05-09,2024-12-01,modified,Harshvardhan J. Pandit,,,,,,,,,,,,,,
ProvidedAsServerlessComputing,Provided as Serverless ComputingProvision,Technology provided as a cloud service consisting of fully managed servers for executing functions,tech:ProvidedAsCloudService,tech:ProvisionMethod,,,,,,2024-05-09,2024-12-01,modified,Harshvardhan J. Pandit,,,,,,,,,,,,,,
ProvidedAsPrivateCloudService,Provided as Private Cloud ServiceProvision,Technology provided as a cloud service that is private,tech:ProvidedAsCloudService,tech:ProvisionMethod,,,,,,2024-05-09,2024-12-01,modified,Tek Raj Chhetri,,,,,,,,,,,,,,
ProvidedAsPublicCloudService,Provided as Public Cloud ServiceProvision,Technology provided as a cloud service that is public,tech:ProvidedAsCloudService,tech:ProvisionMethod,,,,,,2024-05-09,2024-12-01,modified,Tek Raj Chhetri,,,,,,,,,,,,,,
ProvidedAsHybridCloudService,Provided as Hybrid Cloud ServiceProvision,Technology provided as a cloud service that is both private and public in parts,"tech:ProvidedAsPrivateCloudService,tech:ProvidedAsPublicCloudService",tech:ProvisionMethod,,,,,,2024-05-09,2024-12-01,modified,Tek Raj Chhetri,,,,,,,,,,,,,,
