Term,Label,Definition,domain,range,ParentProperty,RelatedTerms,Relation,Usage,Source,CreationDate,Modified,Status,Contributors,Resolution,,,,,,,,,,,,,,,
hasSystem,has system,Indicates the technology has or uses the associated system,dpv:Technology,tech:System,,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
hasComponent,has component,Indicates the system has or uses the associated component,dpv:System,tech:Component,,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
isComponentOf,is component of,Indicates the component is part of the associated system,tech:Component,dpv:System,,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
hasAlgorithm,has algorithm,Indicates the technology has or uses the associated algorithm,dpv:Technology,tech:Algorithm,,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
hasService,has service,Indicates the technology has or uses the associated service,dpv:Technology,tech:Service,,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
hasDevice,has device,Indicates the technology has or uses the associated device,dpv:Technology,tech:Device,tech:hasHardware,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
hasSoftware,has software,Indicates the technology has or uses the associated software,dpv:Technology,tech:Software,,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
hasHardware,has hardware,Indicates the technology has or uses the associated hardware,dpv:Technology,tech:Hardware,,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
hasApplication,has application,Indicates the technology has or uses the associated application,dpv:Technology,tech:Application,,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
hasModel,has model,Indicates the technology has or uses the associated model,dpv:Technology,tech:Model,,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
hasInfrastructure,has infrastructure,Indicates the technology has or uses the associated infrastructure,dpv:Technology,tech:Infrastructure,,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
hasAPI,has api,Indicates the technology has or uses the associated api,dpv:Technology,tech:API,,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
hasPlatform,has platform,Indicates the technology has or uses the associated platform,dpv:Technology,tech:Platform,,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
