"Term","Label","Description","ParentTerm","ParentType","Value","RelatedTerms","Relation","Comment","Source","Created","Modified","Status","Contributors","Resolution","","","","","","","","","","","","","","","","",""
"PersonalDataHandling","Personal Data Handling","A high-level Class to describe 'data handling'. This can consist of personal data being processed for a purpose, involving entities, using technical and organisational measures, applicable risks, rights, and legal basis.","dpv:Concept","a","","","","","","2019-04-05","2020-11-04","accepted","Axel Polleres, Javier Fernández","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","","","",""
"PersonalData","Personal Data","Data directly or indirectly associated or related to an individual.","dpv:Data","sc","","spl:AnyData","rdfs:seeAlso","This definition of personal data encompasses the concepts used in GDPR Art.4-1 for 'personal data' and ISO/IEC 2700 for 'personally identifiable information (PII)'.","(GDPR Art.4-1,https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_1/oj)","2019-04-05","2022-01-19","accepted","Harshvardhan Pandit","https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119","","","","","","","","","","","","","","","","",""
"Processing","Processing","The processing performed on personal data","dpv:Concept","a","","spl:AnyProcessing","rdfs:seeAlso","","(SPECIAL Project,https://specialprivacy.ercim.eu/)","2019-04-05","2020-11-04","accepted","Axel Polleres, Javier Fernández","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","","","",""
"Purpose","Purpose","The purpose of processing personal data","dpv:Concept","a","","spl:AnyPurpose","rdfs:seeAlso","","(SPECIAL Project,https://specialprivacy.ercim.eu/)","2019-04-05","2020-11-04","accepted","Axel Polleres, Javier Fernández","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","","","",""
"Recipient","Recipient","Entities that receive personal data","dpv:LegalEntity","sc","","spl:AnyRecipient","rdfs:seeAlso","A recipient of personal data can be used to indicate any entity that receives personal data. This can be a Third Party, Processor (GDPR), or even a Controller. ","(SPECIAL Project,https://specialprivacy.ercim.eu/),(GDPR Art.4-9g,https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_9/oj)","2019-04-05","2020-11-04","accepted","Axel Polleres, Javier Fernández","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","","","",""
"TechnicalOrganisationalMeasure","Technical and Organisational Measure","The Technical and Organisational measures used.","dpv:Concept","a","","","","","","2019-04-05","2020-11-04","accepted","Bud Bruegger","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","","","",""
"LegalBasis","Legal Basis","The Legal basis used to justify processing of personal data","dpv:Concept","a","","","","Legal basis (plural: legal bases) are defined by legislations and regulations, whose applicability is usually restricted to specific jurisdictions.","","2019-04-05","2020-11-04","accepted","","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","","","",""
"DataSubject","Data Subject","The individual (or category of individuals) whose personal data is being processed","dpv:LegalEntity","sc","","","","The term 'data subject' is specific to the GDPR, but is functionally equivalent to the term 'individual' and the ISO/IEC term 'PII Principle'.","(GDPR Art.4-1g,https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_1/oj)","2019-04-05","2020-11-04","accepted","Axel Polleres, Javier Fernández","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","","","",""
"DataController","Data Controller","The individual or organisation that decides (or controls) the purpose(s) of processing personal data.","dpv:LegalEntity","sc","","","","The terms 'Controller' is usually the more common form of indicating a Data Controller. In ISO/IEC the term 'PII Controller' is used.","(GDPR Art.4-7g,https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_7/oj)","2019-04-05","2020-11-04","accepted","Axel Polleres, Javier Fernández","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","","","",""
"Right","Right","The right(s) applicable, provided, or expected.","dpv:Concept","a","","","","A 'right' is a legal, social, or ethical principle of freedom or entitlement which dictate the norms regarding what is allowed or owed.. Rights as a concept encompass a broad area of norms and entities, and are not specific to Individuals or Data Protection / Privacy. For individual specific rights, see dpv:DataSubjectRight","","2020-11-18","","accepted","Harshvardhan J Pandit, Beatriz Esteves, Georg P Krog","https://www.w3.org/2020/11/18-dpvcg-minutes.html","","","","","","","","","","","","","","","","",""
"DataSubjectRight","Data Subject Right","The rights applicable or provided to a Data Subject","dpv:Right","sc","","","","Based on use of definitions, the notion of 'Data Subject Right' can be equivalent to 'Individual Right' or 'Right of a Person'","","2020-11-18","","accepted","Beatriz Esteves, Georg P Krog, Harshvardhan Pandit","https://www.w3.org/2020/11/18-dpvcg-minutes.html","","","","","","","","","","","","","","","","",""
"Risk","Risk","A risk or possibility or uncertainty of negative effects, impacts, or consequences.","dpv:Concept","a","","","","Risks can be associated with one or more different concepts such as purpose, processing, personal data, technical or organisational measure.","","2020-11-18","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2020/11/18-dpvcg-minutes.html","","","","","","","","","","","","","","","","",""
