"Term","Label","Description","domain","range","ParentProperty","RelatedTerms","Relation","Comment","Source","Created","Modified","Status","Contributors","Resolution","","","","","","","","","","","","",""
"hasDataController","has data controller","Indicates association with Data Controller","dpv:Concept","dpv:LegalEntity","dpv:Relation","","","","","2019-04-04","2020-11-04","accepted","Axel Polleres, Javier Fernández, Harshvardhan J. Pandit, Mark Lizar, Bud Bruegger
","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasDataSubject","has data subject","Indicates association with Data Subject","dpv:Concept","dpv:DataSubject","dpv:Relation","","","","","2019-04-04","2020-11-04","accepted","Axel Polleres, Javier Fernández, Harshvardhan J. Pandit, Mark Lizar, Bud Bruegger
","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasLegalBasis","has legal basis","Indicates use or applicability of a Legal Basis","dpv:Concept","dpv:LegalBasis","dpv:Relation","","","","","2019-04-04","2020-11-04","accepted","Axel Polleres, Javier Fernández","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasPersonalData","has personal data","Indicates association with Personal Data","dpv:Concept","dpv:PersonalData","dpv:Relation","","","","","2022-01-19","","accepted","Harshvardhan J. Pandit","https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119","","","","","","","","","","","","",""
"hasPersonalDataHandling","has personal data handling","Indicates association with Personal Data Handling","dpv:Concept","dpv:PersonalDataHandling","dpv:Relation","","","","","2022-01-19","","accepted","Harshvardhan J. Pandit, Georg P Krog","https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119","","","","","","","","","","","","",""
"hasProcessing","has processing","Indicates association with Processing","dpv:Concept","dpv:Processing","dpv:Relation","","","","(SPECIAL Project,https://specialprivacy.ercim.eu/)","2019-04-04","2020-11-04","accepted","Axel Polleres, Javier Fernández, Harshvardhan J. Pandit, Mark Lizar, Bud Bruegger
","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasPurpose","has purpose","Indicates association with Purpose","dpv:Concept","dpv:Purpose","dpv:Relation","","","","(SPECIAL Project,https://specialprivacy.ercim.eu/)","2019-04-04","2020-11-04","accepted","Axel Polleres, Javier Fernández, Harshvardhan J. Pandit, Mark Lizar, Bud Bruegger
","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasRecipient","has recipient","Indicates Recipient of Personal Data","dpv:Concept","dpv:Recipient","dpv:Relation","","","","(SPECIAL Project,https://specialprivacy.ercim.eu/)","2019-04-04","2020-11-04","accepted","Axel Polleres, Javier Fernández, Harshvardhan J. Pandit, Mark Lizar, Bud Bruegger
","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasRight","has right","Indicates use or applicability of Right","dpv:Concept","dpv:Right","dpv:Relation","","","","","2020-11-18","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2020/11/18-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasRisk","has risk","Indicates applicability of Risk","dpv:Concept","dpv:Risk","dpv:Relation","","","","","2020-11-18","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2020/11/18-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasTechnicalOrganisationalMeasure","has technical and organisational measure","Indicates use or applicability of Technical or Organisational measure","dpv:Concept","dpv:TechnicalOrganisationalMeasure","dpv:Relation","","","","","2019-04-04","2020-11-04","accepted","Axel Polleres, Javier Fernández, Harshvardhan J. Pandit, Mark Lizar, Bud Bruegger
","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"dct:title","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dct:description","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dct:date","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dct:isPartOf","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dct:hasPart","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dct:identifier","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dct:subject","","","","","","","","","","","","","","","","","","","","","","","","","","",""
