"Term","Label","Description","ParentTerm","ParentType","Value","RelatedTerms","Relation","Comment","Source","Created","Modified","Status","Contributors","Resolution","","","","","","","","","","","","","","",""
"BusinessPerformanceImpairment","Business Performance Impairment","","dpv:Detriment","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","","","accepted","","","","","","","","","","","","","","","","",""
"LossReputation","Loss of Reputation","","dpv:Detriment","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","","","accepted","","","","","","","","","","","","","","","","",""
"LossGoodwill","Loss of Goodwill","","dpv:Detriment","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","","","accepted","","","","","","","","","","","","","","","","",""
"DataBreach","Data Breach","","dpv:Damage","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","","","accepted","","","","","","","","","","","","","","","","",""
"PersonalSafetyEndangerment","Personal Safety Endangerment","","dpv:Harm","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","","","accepted","","","","","","","","","","","","","","","","",""
"LawEnforcementAdverseEffects","Law Enforcement Adverse Effects","","dpv:Detriment","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","","","accepted","","","","","","","","","","","","","","","","",""
"ConfidentialityBreach","Confidentiality Breach","","dpv:Detriment","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","","","accepted","","","","","","","","","","","","","","","","",""
"PublicOrderBreach","Public Order Breach","","dpv:Damage","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","","","accepted","","","","","","","","","","","","","","","","",""
"FinancialLoss","Financial Loss","","dpv:Damage","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","","","accepted","","","","","","","","","","","","","","","","",""
"Businessdisruption","Business disruption","","dpv:Detriment","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","","","accepted","","","","","","","","","","","","","","","","",""
"EnvironmentalSafetyEndangerment","Environmental Safety Endangerment","","dpv:Harm","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","","","accepted","","","","","","","","","","","","","","","","",""
"ServiceInterruption","Service Interruption","","dpv:Detriment","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","","","accepted","","","","","","","","","","","","","","","","",""
"LossCustomerConfidence","Loss of Customer Confidence","","dpv:Detriment","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","","","accepted","","","","","","","","","","","","","","","","",""
"LossCredibility","Loss of Credibility","","dpv:Detriment","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","","","accepted","","","","","","","","","","","","","","","","",""
"InternalOperationDisruption","Internal Operation Disruption","","dpv:Detriment","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","","","accepted","","","","","","","","","","","","","","","","",""
"OrganisationDisruption","Organisation Disruption","","dpv:Detriment","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","","","accepted","","","","","","","","","","","","","","","","",""
"IncreaseInternalCost","Increase Internal Cost","","dpv:Detriment","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","","","accepted","","","","","","","","","","","","","","","","",""
"ThirdPartyOperationDisruption","Third Party Operation Disruption","","dpv:Detriment","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","","","accepted","","","","","","","","","","","","","","","","",""
"Injury","Injury","","dpv:Harm","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","","","accepted","","","","","","","","","","","","","","","","",""
"DangertoPersonnel","Danger to Personnel ","","dpv:Harm","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","","","accepted","","","","","","","","","","","","","","","","",""
"DangertoCustomers","Danger to Customers","","dpv:Harm","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","","","accepted","","","","","","","","","","","","","","","","",""
"AttackonPrivateLife","Attack on Private Life","","dpv:Harm","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","","","accepted","","","","","","","","","","","","","","","","",""
"FinancialRepairCosts","Financial Repair Costs","","dpv:Detriment","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","","","accepted","","","","","","","","","","","","","","","","",""
"FinancialPersonnelCosts","Financial Personnel Costs","","dpv:Detriment","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","","","accepted","","","","","","","","","","","","","","","","",""
"FinancialEquipmentCosts","Financial Equipment Costs","","dpv:Detriment","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","","","accepted","","","","","","","","","","","","","","","","",""
"FinancialInvestigationCosts","Financial Investigation Costs","","dpv:Detriment","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","","","accepted","","","","","","","","","","","","","","","","",""
"LossGoods","Loss of Goods","","dpv:MaterialDamage","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","","","accepted","","","","","","","","","","","","","","","","",""
"LossAssets","Loss of Assets","","dpv:MaterialDamage","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","","","accepted","","","","","","","","","","","","","","","","",""
"LossFunds","Loss of Funds","","dpv:MaterialDamage","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","","","accepted","","","","","","","","","","","","","","","","",""
"LossCustomers","Loss of Customers","","dpv:NonMaterialDamage","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","","","accepted","","","","","","","","","","","","","","","","",""
"LossSuppliers","Loss of Suppliers","","dpv:NonMaterialDamage","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","","","accepted","","","","","","","","","","","","","","","","",""
"CostJudicialProceedings","Cost of Judicial Proceedings","","dpv:Detriment","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","","","accepted","","","","","","","","","","","","","","","","",""
