"Term","Label","Description","ParentTerm","ParentType","Value","RelatedTerms","Relation","Comment","Source","Created","Modified","Status","Contributors","Resolution","","","","","","","","","","","","","","",""
"Context","Context","Contextually relevant information not possible to represent through other core concepts","dpv:Concept","a","","","","","","2019-04-05","2022-06-15","modified","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Importance","Importance","An indication of 'importance' within a context","dpv:Context","sc","","","","Importance can be used to express importance, desirability, relevance, or significance as a context.","","2022-02-09","","accepted","Harshvardhan J. Pandit, Paul Ryan, Georg P Krog, Julian Flake, Beatriz Esteves","https://www.w3.org/2022/02/09-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"PrimaryImportance","Primary Importance","Indication of 'primary' or 'main' or 'core' importance","dpv:Importance","a","","","","","","2022-02-10","","accepted","Harshvardhan J. Pandit, Paul Ryan, Georg P Krog, Julian Flake, Beatriz Esteves","https://www.w3.org/2022/02/09-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"SecondaryImportance","Secondary Importance","Indication of 'secondary' or 'minor' or 'auxiliary' importance","dpv:Importance","a","","","","","","2022-02-11","","accepted","Harshvardhan J. Pandit, Paul Ryan, Georg P Krog, Julian Flake, Beatriz Esteves","https://www.w3.org/2022/02/09-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Necessity","Necessity","An indication of 'necessity' within a context","dpv:Context","sc","","","","Necessity can be used to express need, essentiality, requirement, or compulsion.","","2022-02-12","","accepted","Harshvardhan J. Pandit, Paul Ryan, Georg P Krog, Julian Flake, Beatriz Esteves","https://www.w3.org/2022/02/09-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Required","Required","Indication of 'required' or 'necessary'","dpv:Necessity","a","","","","","","2022-02-13","","accepted","Harshvardhan J. Pandit, Paul Ryan, Georg P Krog, Julian Flake, Beatriz Esteves","https://www.w3.org/2022/02/09-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Optional","Optional","Indication of 'optional' or 'voluntary'","dpv:Necessity","a","","","","","","2022-02-14","","accepted","Harshvardhan J. Pandit, Paul Ryan, Georg P Krog, Julian Flake, Beatriz Esteves","https://www.w3.org/2022/02/09-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"NotRequired","Not Required","Indication of neither being required nor optional i.e. not relevant or needed","dpv:Necessity","a","","","","","","2022-02-15","","accepted","Harshvardhan J. Pandit, Paul Ryan, Georg P Krog, Julian Flake, Beatriz Esteves","https://www.w3.org/2022/02/09-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Technology","Technology","The technology, technological implementation, or any techniques, skills, methods, and processes used or applied","dpv:Concept","a","","","","Examples (non-exhaustive) include: Algorithm, Process, Method, Skill, Database, Cookies, Server, Device","","2022-01-26","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/01/26-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Scope","Scope","Indication of the extent or range or boundaries associated with(in) a context","dpv:Context","sc","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Justification","Justification","A form of documentation providing reaosns, explanations, or justifications","dpv:Context","sc","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Frequency","Frequency","The frequency or information about periods and repetitions in terms of recurrence.","dpv:Context","sc","","","","","","2022-02-16","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/03/23-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"ContinousFrequency","Continous Frequency","Frequency where occurences are continous","dpv:Frequency","sc","","","","","","2022-06-15","2020-10-05","modified","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"OftenFrequency","Often Frequency","Frequency where occurences are often or frequent, but not continous","dpv:Frequency","sc","","","","","","2022-06-15","2020-10-05","modified","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"SporadicFrequency","Sporadic Frequency","Frequency where occurences are sporadic or infrequent or sparse","dpv:Frequency","sc","","","","","","2022-06-15","2020-10-05","modified","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"SingularFrequency","Singular Frequency","Frequency where occurences are singular i.e. they take place only once","dpv:Frequency","sc","","","","","","2022-06-15","2020-10-05","modified","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Duration","Duration","The duration or temporal limitation","dpv:Context","sc","","","","","","2022-02-09","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/03/23-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"IndeterminateDuration","Indeterminate Duration","Duration that is indeterminate or cannot be determined","dpv:Duration","a","","","","Indeterminate means (exact or otherwise) information about the duration cannot be determined, which is distinct from 'EndlessDuration' where it is known (or decided) that the duration is open-ended or without an end. ","","2022-11-30","","accepted","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"EndlessDuration","Endless Duration","Duration that is (known or intended to be) open ended or without an end","dpv:Duration","a","","","","","","2022-06-15","2020-10-05","modified","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"TemporalDuration","Temporal Duration","Duration that has a fixed temporal duration e.g. 6 months","dpv:Duration","sc","","","","","","2022-06-15","2020-10-05","modified","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"UntilEventDuration","Until Event Duration","Duration that takes place until a specific event occurs e.g. Account Closure","dpv:Duration","sc","","","","","","2022-06-15","2020-10-05","modified","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"UntilTimeDuration","Until Time Duration","Duration that has a fixed end date e.g. 2022-12-31","dpv:Duration","sc","","","","","","2022-06-15","2020-10-05","modified","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"FixedOccurencesDuration","Fixed Occurences Duration","Duration that takes place a fixed number of times e.g. 3 times","dpv:Duration","sc","","","","","","2022-06-15","2020-10-05","modified","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"PurposeDuration","Purpose Duration","The duration associated with fulfilment or carrying out purpose(s)","dpv:Duration","sc","","","","","","","","proposed","Harshvardhan J. Pandit, Piero Bonatti","","","","","","","","","","","","","","","",""
"ConsentDuration","Consent Duration","The duration associated with fulfilment or validity of consenting decision(s)","dpv:Duration","sc","","","","","","","","proposed","Harshvardhan J. Pandit, Piero Bonatti","","","","","","","","","","","","","","","",""
"ContractDuration","Contract Duration","The duration associated with fulfilment or carrying out contract(s)","dpv:Duration","sc","","","","","","","","proposed","Harshvardhan J. Pandit, Piero Bonatti","","","","","","","","","","","","","","","",""
