"Term Concepts in DPV this extends dpv:DataSubjectRight ","Label ","Description Data Subject Right ","ParentTerm dpv:Concept ","ParentType ","Value ","RelatedTerms ","Relation ","Comment ","Source ","Created ","Modified ","Status ","Contributors ","Resolution ","","","","","","","","","","","","","","",""
"EUFundamentalRights","EU Fundamental Rights","","dpv:DataSubjectRight","sc","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-06-22","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"T1-Dignity","T1 Dignity","","rights-eu:EUFundamentalRights","sc","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-06-23","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A1-HumanDignity","A1 Human Dignity","","rights-eu:T1-Dignity,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-06-24","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A2-RightToLife","A2 Right To Life","","rights-eu:T1-Dignity,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-06-25","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A3-RightToIntegrityOfPerson","A3 Right To Integrity Of Person","","rights-eu:T1-Dignity,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-06-26","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A4-ProhibitionOfTortureDegradationPunishment","A4 Prohibition Of Torture Degradation Punishment","","rights-eu:T1-Dignity,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-06-27","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A5-ProhibitionOfSlaveryForcedLabour","A5 Prohibition Of Slavery Forced Labour","","rights-eu:T1-Dignity,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-06-28","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"T2-Freedoms","T2 Freedoms","","rights-eu:EUFundamentalRights","sc","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-06-29","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A6-RightToLiberySecurity","A6 Right To Libery Security","","rights-eu:T2-Freedoms,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-06-30","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A7-RespectPrivateFamilyLife","A7 Respect Private Family Life","","rights-eu:T2-Freedoms,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-07-01","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
