"Term Entity","Label Entity","Description A human or non-human 'thing' that constitutes as an entity","ParentTerm dpv:Concept","RelatedTerms ","Relation ","Comment ","Source ","Created ","Modified ","Status accepted","Contributors ","Resolution ","","","","","","","","","","","","",""
"LegalEntity","Legal Entity","A human or non-human 'thing' that constitutes as an entity and which is recognised and defined in law","dpv:Entity","","","","","2019-04-05","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"NaturalPerson","Natural Person","A human","dpv:Entity","","","","","2022-02-09","","accepted","","","","","","","","","","","","","","",""
"DataController","Data Controller","The individual or organisation that decides (or controls) the purpose(s) of processing personal data.","dpv:LegalEntity","","","The terms 'Controller' is usually the more common form of indicating a Data Controller. In ISO/IEC the term 'PII Controller' is used.","(GDPR Art.4-7g,https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_7/oj)","2019-04-05","2020-11-04","accepted","Axel Polleres, Javier Fernández","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"DataProcessor","Data Processor","A ‘processor’ means a natural or legal person, public authority, agency or other body which processes personal data on behalf of the controller.","dpv:Recipient","","","","(GDPR Art.4-8,https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_8/oj)","2019-06-04","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2019/06/04-dpvcg-minutes.html","","","","","","","","","","","","",""
"DataSubProcessor","Data Sub-Processor","A 'sub-processor' is a processor engaged by another processor","dpv:DataProcessor","","","sub-processor' is a commonly used term similar to 'sub-contractor' and does not have a specific legal definition","","2020-11-25","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2020/11/25-dpvcg-minutes.html","","","","","","","","","","","","",""
"Recipient","Recipient","Entities that receive personal data","dpv:LegalEntity","spl:AnyRecipient","rdfs:seeAlso","A recipient of personal data can be used to indicate any entity that receives personal data. This can be a Third Party, Processor (GDPR), or even a Controller. ","(SPECIAL Project,https://www.specialprivacy.eu/),(GDPR Art.4-9g,https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_9/oj)","2019-04-05","2020-11-04","accepted","Axel Polleres, Javier Fernández","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"ThirdParty","Third Party","A ‘third party’ means a natural or legal person, public authority, agency or body other than the data subject, controller, processor and people who, under the direct authority of the controller or processor, are authorised to process personal data.","dpv:Recipient","","","","(GDPR Art.4-10,https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_10/oj)","2019-06-04","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2019/06/04-dpvcg-minutes.html","","","","","","","","","","","","",""
"DataProtectionOfficer","Data Protection Officer","An entity within or authorised by an organisation to monitor internal compliance, inform and advise on data protection obligations and act as a contact point for data subjects and the supervisory authority.","dpv:Representative","","","","(GDPR Art.37,https://eur-lex.europa.eu/eli/reg/2016/679/art_37/oj)","2020-11-04","2021-12-08","modified","Georg Krog, Paul Ryan","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"DataExporter","Data Exporter","An entity that 'exports' data where exporting is considered a form of data transfer","dpv:LegalEntity","","","The EU, in particular the EDPB, uses data exporter the context of cross-border data transfers/flows. These concepts are not bound by jurisdictional or geopolitical scopes within DPV and can thus be used for any notion of exporting","(EDPB Recommendations 01/2020 on Data Transfers, https://edpb.europa.eu/our-work-tools/our-documents/recommendations/recommendations-012020-measures-supplement-transfer_en)","2021-09-08","","accepted","David Hickey, Georg Krog, Paul Ryan, Harshvardhan Pandit","https://www.w3.org/2021/09/08-dpvcg-minutes.html","","","","","","","","","","","","",""
"DataImporter","Data Importer","An entity that 'imports' data where importing is considered a form of data transfer","dpv:Recipient","","","The EU, in particular the EDPB, uses data importing the context of cross-border data transfers/flows. These concepts are not bound by jurisdictional or geopolitical scopes within DPV and can thus be used for any notion of importing","(EDPB Recommendations 01/2020 on Data Transfers, https://edpb.europa.eu/our-work-tools/our-documents/recommendations/recommendations-012020-measures-supplement-transfer_en)","2021-09-08","","accepted","David Hickey, Georg Krog, Paul Ryan, Harshvardhan Pandit","https://www.w3.org/2021/09/08-dpvcg-minutes.html","","","","","","","","","","","","",""
"JointDataControllers","Joint Data Controllers","A group of Data Controllers that jointly determine the purposes and means of processing","dpv:DataController","","","To indicate the membership, hasDataController may be used","","2022-02-02","","accepted","Georg Krog, Harshvardhan Pandit","https://www.w3.org/2022/02/02-dpvcg-minutes.html","","","","","","","","","","","","",""
"Representative","Representative","A representative of a legal entity","dpv:LegalEntity","","","","(GDPR Art.27,https://eur-lex.europa.eu/eli/reg/2016/679/art_27/oj)","2020-11-04","","accepted","Georg Krog, Paul Ryan, Harshvardhan J. Pandit, Beatriz Esteves","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"Authority","Authority","An authority with the power to create or enforce laws, or determine their compliance.","dpv:LegalEntity,dpv:GovernmentalOrganisation","","","","","2020-11-04","","accepted","Georg Krog, Paul Ryan, Harshvardhan Pandit","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"DataProtectionAuthority","Data Protection Authority","An authority tasked with overseeing legal compliance regarding privacy and data protection laws.","dpv:Authority","","","","","2020-11-04","","accepted","Georg Krog, Paul Ryan, Harshvardhan Pandit","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"NationalAuthority","NationalAuthority","e.g. DPA, but not all ""DPA"" are national authority e.g. EDPS and EDPB","dpv:Authority","","","","(ADMS controlled vocabulary,http://purl.org/adms)","2022-02-02","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/02/02-dpvcg-minutes.html","","","","","","","","","","","","",""
"RegionalAuthority","RegionalAuthority","e.g. regional DPA in DE / US-CA","dpv:Authority","","","","(ADMS controlled vocabulary,http://purl.org/adms)","2022-02-02","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/02/02-dpvcg-minutes.html","","","","","","","","","","","","",""
"SupraNationalAuthority","SupraNationalAuthority","e.g. EU, EDPB","dpv:Authority","","","","(ADMS controlled vocabulary,http://purl.org/adms)","2022-02-02","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/02/02-dpvcg-minutes.html","","","","","","","","","","","","",""
"DataSubject","Data Subject","The individual (or category of individuals) whose personal data is being processed","dpv:LegalEntity,dpv:NaturalPerson","","","The term 'data subject' is specific to the GDPR, but is functionally equivalent to the term 'individual' and the ISO/IEC term 'PII Principle'.","(GDPR Art.4-1g,https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_1/oj)","2019-04-05","2020-11-04","accepted","Axel Polleres, Javier Fernández","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"Organisation","Organisation","A general term reflecting a company or a business or a group acting as a unit","dpv:LegalEntity","","","","","2022-02-02","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/02/02-dpvcg-minutes.html","","","","","","","","","","","","",""
"IndustryConsortium","IndustryConsortium","A consortium established and comprising on industry organisations","dpv:Organisation","","","","(ADMS controlled vocabulary,http://purl.org/adms)","2022-02-02","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/02/02-dpvcg-minutes.html","","","","","","","","","","","","",""
"GovernmentalOrganisation","GovernmentalOrganisation","An organisation managed or part of government","dpv:Organisation","","","","","2022-02-02","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/02/02-dpvcg-minutes.html","","","","","","","","","","","","",""
"NonGovernmentalOrganisation","NonGovernmentalOrganisation","An organisation not part of or independent from the government","dpv:Organisation","","","","(ADMS controlled vocabulary,http://purl.org/adms)","2022-02-02","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/02/02-dpvcg-minutes.html","","","","","","","","","","","","",""
"ForProfitOrganisation","ForProfitOrganisation","An organisation that aims to achieve profit as its primary goal","dpv:Organisation","","","","","2022-02-02","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/02/02-dpvcg-minutes.html","","","","","","","","","","","","",""
"NonProfitOrganisation","NonProfitOrganisation","An organisation that does not aim to achieve profit as its primary goal","dpv:Organisation","","","","(ADMS controlled vocabulary,http://purl.org/adms)","2022-02-02","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/02/02-dpvcg-minutes.html","","","","","","","","","","","","",""
"AcademicScientificOrganisation","AcademicScientificOrganisation","Organisations related to academia or scientific pursuits e.g. Universities, Schools, Research Bodies","dpv:Organisation","","","","(ADMS controlled vocabulary,http://purl.org/adms)","2022-02-02","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/02/02-dpvcg-minutes.html","","","","","","","","","","","","",""
"Child","Child","A 'child' is a natural legal person who is below a certain legal age depending on the legal jurisdiction.","dpv:DataSubject","","","The legality of age defining a child varies by jurisdiction. In addition, 'child' is distinct from a 'minor'. For example, the legal age drinking alcohol can be 21, which makes a person of age 20 a 'minor' in this context. In other cases, 'minor' and 'child' are used interchangeably to refer to a person below some legally defined age.","","2020-11-25","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2020/11/25-dpvcg-minutes.html","","","","","","","","","","","","",""
"VulnerableDataSubject","Vulnerable Data Subject","Data Subjects which should be considered 'vulnerable' and therefore would require additional measures and safeguards","dpv:DataSubject","","","","","2020-11-04","","accepted","Georg Krog, Paul Ryan, Harshvardhan Pandit","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
