"Term","Label","Description","ParentTerm","RelatedTerms","Relation","Comment","Source","Created","Modified","Status","Contributors","Resolution","","","","","","","","","","","","",""
"DataSubject","Data Subject","The individual (or category of individuals) whose personal data is being processed","dpv:LegalEntity,dpv:NaturalPerson","","","The term 'data subject' is specific to the GDPR, but is functionally equivalent to the term 'individual' and the ISO/IEC term 'PII Principle'.","(GDPR Art.4-1g,https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_1/oj)","2019-04-05","2020-11-04","accepted","Axel Polleres, Javier Fernández","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"Child","Child","A 'child' is a natural legal person who is below a certain legal age depending on the legal jurisdiction.","dpv:NatualPerson","","","The legality of age defining a child varies by jurisdiction. In addition, 'child' is distinct from a 'minor'. For example, the legal age for consumption of alcohol can be 21, which makes a person of age 20 a 'minor' in this context. In other cases, 'minor' and 'child' are used interchangeably to refer to a person below some legally defined age.","","2020-11-25","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2020/11/25-dpvcg-minutes.html","","","","","","","","","","","","",""
"Adult","Adult","A natural person that is not a child i.e. has attained some legally specified age of adulthood","dpv:DataSubject","","","","","2022-03-30","","accepted","Georg Krog","https://www.w3.org/2022/03/30-dpvcg-minutes.html","","","","","","","","","","","","",""
"VulnerableDataSubject","Vulnerable Data Subject","Data Subjects which should be considered 'vulnerable' and therefore would require additional measures and safeguards","dpv:DataSubject","","","This concept denote a Data Subject or a group are vulnerable, but not what vulnerability they possess or its context. This information can be provided additionally as comments, or as separate concepts and relations. Proposals for this are welcome.","","2020-11-04","","accepted","Georg Krog, Paul Ryan, Harshvardhan Pandit","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"Patient","Patient","relevance: medical, health domains and laws","dpv:DataSubject","y","","","","","","proposed","","","","","","","","","","","","","","",""
"Employee","Employee","relevance: employment laws","dpv:DataSubject","y","","","","","","proposed","","","","","","","","","","","","","","",""
"Student","Student","relevance: education laws","dpv:DataSubject","y","","","","","","proposed","","","","","","","","","","","","","","",""
"Citizen","Citizen","TBD relevance: governance and immigration laws","dpv:DataSubject","y","","","","","","proposed","","","","","","","","","","","","","","",""
"NonCitizen","NonCitizen","relevance: governance and immigration laws","dpv:DataSubject","y","","","","","","proposed","","","","","","","","","","","","","","",""
"Immigrant","Immigrant","relevance: governance and immigration laws","dpv:DataSubject","y","","","","","","proposed","","","","","","","","","","","","","","",""
"Tourist","Tourist","relevance: governance and immigration laws","dpv:DataSubject","x","","","","","","proposed","","","","","","","","","","","","","","",""
"Customer","Customer","Q:: consumer is a subset of customer ???","dpv:LegalEntity","y -> d","","","","","","proposed","","","","","","","","","","","","","","",""
"Consumer","Consumer","Q:: consumer is a subset of customer ???","dpv:DataSubject","y -> d","","","","","","proposed","","","","","","","","","","","","","","",""
"User","User","relevance: common use-case ;; possible confusion between user vs consumer","dpv:DataSubject","","","","","","","proposed","","","","","","","","","","","","","","",""
"JobApplicant","JobApplicant","could go in HR / Management extension alongside purposes etc. ?","dpv:DataSubject","","","","","","","proposed","","","","","","","","","","","","","","",""
"Visitor","Visitor","relevance: common use-case ;; distinct from user e.g. user of a system ","dpv:DataSubject","","","","","","","proposed","","","","","","","","","","","","","","",""
"Member","Member","distinct from customer, consumer, user, etc. by virtue of participation and rules governing memberships","dpv:LegalEntity","","","","","","","proposed","","","","","","","","","","","","","","",""
"Applicant","Applicant","possible duplicate of JobApplicant without further distinction","dpv:LegalEntity","","","","","","","proposed","","","","","","","","","","","","","","",""
"Trainees","Trainees","could go in HR / Management extension alongside purposes etc. ?","dpv:LegalEntity","","","","","","","proposed","","","","","","","","","","","","","","",""
"Subscriber","Subscriber","possible similarity with customer and consumer ;; could be needed to tie with subscription services? -- different from customer/consumer?","dpv:DataSubject","","","","","","","proposed","","","","","","","","","","","","","","",""
"ServiceUsers","ServiceUsers","possible duplicate of user without further distinction","dpv:DataSubject","","","","","","","proposed","","","","","","","","","","","","","","",""
"WebsiteVisitors","WebsiteVisitors","possible confusion between visitor vs user e.g. website visitor / service user","dpv:DataSubject","","","","","","","proposed","","","","","","","","","","","","","","",""
"Clients","Clients","possible duplicate of customer or consumer depending on context","dpv:LegalEntity","","","","","","","proposed","","","","","","","","","","","","","","",""
