"Term","Label","Description","domain","range","ParentProperty","RelatedTerms","Relation","Comment","Source","CreationDate","Modified","Status","Contributors","Resolution","","","","","","","","","","","","",""
"hasRepresentative","has representative","Specifies representative of the legal entity","dpv:Entity","dpv:Representative","dpv:hasEntity","","","","","2020-11-04","","accepted","Harshvardhan J.Pandit, Georg P Krog, Paul Ryan, Beatriz Esteves","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"hasRecipient","has recipient","Indicates Recipient of Personal Data","dpv:Concept","dpv:Recipient","dpv:hasEntity","","","","(SPECIAL Project,https://www.specialprivacy.eu/)","2019-04-04","2020-11-04","accepted","Axel Polleres, Javier Fernández, Harshvardhan J. Pandit, Mark Lizar, Bud Bruegger
","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasDataSubject","has data subject","Indicates association with Data Subject","dpv:Concept","dpv:DataSubject","dpv:hasEntity","","","","","2019-04-04","2020-11-04","accepted","Axel Polleres, Javier Fernández, Harshvardhan J. Pandit, Mark Lizar, Bud Bruegger
","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasDataController","has data controller","Indicates association with Data Controller","dpv:Concept","dpv:DataController","dpv:hasEntity","","","","","2019-04-04","2020-11-04","accepted","Axel Polleres, Javier Fernández, Harshvardhan J. Pandit, Mark Lizar, Bud Bruegger
","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasJointDataController","","Indicates inclusion or applicability of a Joint Data Controller","dpv:Concept","dpv:JointDataController","dpv:hasDataController","","","","","","","accepted","","","","","","","","","","","","","","",""
"hasDataProcessor","","Indiciates inclusion or applicability of a Data Processor","dpv:Concept","dpv:DataProcessor","dpv:hasRecipient","","","","","","","accepted","","","","","","","","","","","","","","",""
"hasRecipientDataController","","Indiciates inclusion or applicability of a Data Controller as a Recipient of persona data","dpv:Concept","dpv:DataController","dpv:hasRecipient","","","","","","","accepted","","","","","","","","","","","","","","",""
"hasRecipientThirdParty","","Indiciates inclusion or applicability of a Third Party as a Recipient of persona data","dpv:Concept","dpv:ThirdParty","dpv:hasRecipient","","","","","","","accepted","","","","","","","","","","","","","","",""
"hasDataExporter","","Indiciates inclusion or applicability of a LegalEntity in the role of Data Exporter","dpv:Concept","dpv:DataExporter","dpv:hasEntity","","","","","","","accepted","","","","","","","","","","","","","","",""
"hasDataImporter","","Indiciates inclusion or applicability of a LegalEntity in the role of Data Importer","dpv:Concept","dpv:DataImporter","dpv:hasRecipient","","","","","","","accepted","","","","","","","","","","","","","","",""
