"Term","Label","Description","ParentTerm","RelatedTerms","Relation","Comment","Source","Created","Modified","Status","Contributors","Resolution","","","","","","","","","","","","",""
"Organisation","","","dpv:LegalEntity","","","","","2022-02-02","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/02/02-dpvcg-minutes.html","","","","","","","","","","","","",""
"IndustryConsortium","IndustryConsortium","","dpv:Organisation","","","","(ADMS controlled vocabulary,http://purl.org/adms)","2022-02-02","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/02/02-dpvcg-minutes.html","","","","","","","","","","","","",""
"GovernmentalOrganisation","GovernmentalOrganisation","e.g. tax department ; should DPA go under these?","dpv:Organisation","","","","","2022-02-02","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/02/02-dpvcg-minutes.html","","","","","","","","","","","","",""
"NonGovernmentalOrganisation","NonGovernmentalOrganisation","","dpv:Organisation","","","","(ADMS controlled vocabulary,http://purl.org/adms)","2022-02-02","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/02/02-dpvcg-minutes.html","","","","","","","","","","","","",""
"ForProfitOrganisation","ForProfitOrganisation","","dpv:Organisation","","","","","2022-02-02","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/02/02-dpvcg-minutes.html","","","","","","","","","","","","",""
"NonProfitOrganisation","NonProfitOrganisation","","dpv:Organisation","","","","(ADMS controlled vocabulary,http://purl.org/adms)","2022-02-02","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/02/02-dpvcg-minutes.html","","","","","","","","","","","","",""
"AcademicScientificOrganisation","AcademicScientificOrganisation","Universities, Schools, Research Bodies","dpv:Organisation","","","","(ADMS controlled vocabulary,http://purl.org/adms)","2022-02-02","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/02/02-dpvcg-minutes.html","","","","","","","","","","","","",""
"ReligiousAssociations","","DISCUSS TBD","","","","","","","","proposed","","","","","","","","","","","","","","",""
"InternationalOrganisation","","","","","","","","","","proposed","","","","","","","","","","","","","","",""
"OrganisationUnit","","","","","","","","","","proposed","","","","","","","","","","","","","","",""
