"Term","Label","Description","domain","range","ParentProperty","RelatedTerms","Relation","Comment","Source","CreationDate","Modified","Status","Contributors","Resolution","","","","","","","","","","","","",""
"hasName","has name","Specifies name of a legal entity","dpv:Entity","dpv:Concept","dpv:Relation","","","","","2020-11-04","","accepted","Harshvardhan J.Pandit, Georg P Krog, Paul Ryan, Beatriz Esteves","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"hasAddress","has address","Specifies address of a legal entity such as street address or pin code","dpv:Entity","dpv:Concept","dpv:Relation","","","","","2020-11-04","","accepted","Harshvardhan J.Pandit, Georg P Krog, Paul Ryan, Beatriz Esteves","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"hasContact","has contact","Specifies contact details of a legal entity such as phone  or email","dpv:Entity","dpv:Concept","dpv:Relation","","","","","2020-11-04","","accepted","Harshvardhan J.Pandit, Georg P Krog, Paul Ryan, Beatriz Esteves","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"hasEntity","has entity","Indicates inclusion or applicability of an entity to some concept","dpv:Concept","dpv:Entity","dpv:Relation","","","parent property for controller, processor, data subject, authority, etc.?","","2022-02-09","","accepted","","","","","","","","","","","","","","",""
"hasRepresentative","has representative","Specifies representative of the legal entity","dpv:Entity","dpv:Representative","dpv:hasEntity","","","","","2020-11-04","","accepted","Harshvardhan J.Pandit, Georg P Krog, Paul Ryan, Beatriz Esteves","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"hasRecipient","has recipient","Indicates Recipient of Personal Data","dpv:Concept","dpv:Recipient","dpv:hasEntity","","","","(SPECIAL Project,https://www.specialprivacy.eu/)","2019-04-04","2020-11-04","accepted","Axel Polleres, Javier Fernández, Harshvardhan J. Pandit, Mark Lizar, Bud Bruegger
","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasDataSubject","has data subject","Indicates association with Data Subject","dpv:Concept","dpv:DataSubject","dpv:hasEntity","","","","","2019-04-04","2020-11-04","accepted","Axel Polleres, Javier Fernández, Harshvardhan J. Pandit, Mark Lizar, Bud Bruegger
","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasDataController","has data controller","Indicates association with Data Controller","dpv:Concept","dpv:DataController","dpv:hasEntity","","","","","2019-04-04","2020-11-04","accepted","Axel Polleres, Javier Fernández, Harshvardhan J. Pandit, Mark Lizar, Bud Bruegger
","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasJointDataControllers","has joint data controllers","Indicates inclusion or applicability of a Joint Data Controller","dpv:Concept","dpv:JointDataControllers","dpv:hasDataController","","","","","2022-02-09","","accepted","","","","","","","","","","","","","","",""
"hasDataProcessor","has data processor","Indiciates inclusion or applicability of a Data Processor","dpv:Concept","dpv:DataProcessor","dpv:hasRecipient","","","","","2022-02-10","","accepted","","","","","","","","","","","","","","",""
"hasRecipientDataController","has recipient data controller","Indiciates inclusion or applicability of a Data Controller as a Recipient of persona data","dpv:Concept","dpv:DataController","dpv:hasRecipient","","","","","2022-02-11","","accepted","","","","","","","","","","","","","","",""
"hasRecipientThirdParty","has recipient third party","Indiciates inclusion or applicability of a Third Party as a Recipient of persona data","dpv:Concept","dpv:ThirdParty","dpv:hasRecipient","","","","","2022-02-12","","accepted","","","","","","","","","","","","","","",""
"hasDataExporter","has data exporter","Indiciates inclusion or applicability of a LegalEntity in the role of Data Exporter","dpv:Concept","dpv:DataExporter","dpv:hasEntity","","","","","2022-02-13","","accepted","","","","","","","","","","","","","","",""
"hasDataImporter","has data importer","Indiciates inclusion or applicability of a LegalEntity in the role of Data Importer","dpv:Concept","dpv:DataImporter","dpv:hasRecipient","","","","","2022-02-14","","accepted","","","","","","","","","","","","","","",""
