"Term","Label","Description","ParentTerm","ParentType","Value","RelatedTerms","Relation","Comment","Source","Created","Modified","Status","Contributors","Resolution","","","","","","","","","","","","",""
"DPIANecessityAssessment","DPIA Necessity Assessment","Process that determines whether a DPIA is necessary","dpv:DPIA","sc","","","","","","2022-06-22","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","",""
"DPIAProcedure","DPIA Procedure","Process representing carrying out a DPIA","dpv:DPIA","sc","","","","","","2022-06-22","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","",""
"DPIAOutcome","DPIA Outcome","Process representing determining outcome of a DPIA","dpv:DPIA","sc","","","","","","2022-06-22","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","",""
"DPIANecessityStatus","DPIA Necessity Status","Status reflecting whether a DPIA is necessary","dpv:AuditStatus","sc","","","","","","2022-06-22","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","",""
"DPIARequired","DPIA Required","Condition where a DPIA is required","dpv-gdpr:DPIANecessityStatus","a","","","","","","2022-06-22","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","",""
"DPIANotRequired","DPIA Not Required","Condition where a DPIA is not required","dpv-gdpr:DPIANecessityStatus","a","","","","","","2022-06-22","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","",""
"DPIARiskStatus","DPIA Risk Status","Status reflecting the status of risk associated with a DPIA","dpv:AuditStatus","sc","","","","","","2022-06-22","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","",""
"DPIAIndicatesHighRisk","DPIA Indicates High Risk","DPIA identifying high risk levels","dpv-gdpr:DPIARiskStatus","a","","","","","","2022-06-22","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","",""
"DPIAIndicatesLowRisk","DPIA Indicates Low Risk","DPIA identifying low risk levels","dpv-gdpr:DPIARiskStatus","a","","","","","","2022-06-22","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","",""
"DPIAIndicatesNoRisk","DPIA Indicates No Risk","DPIA identifying no risk is present","dpv-gdpr:DPIARiskStatus","a","","","","","","2022-06-22","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","",""
"DPIAOutcomeStatus","DPIA Outcome Status","Status reflecting the outcomes of a DPIA","dpv:AuditStatus","sc","","","","","","2022-06-22","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","",""
"DPIAOutcomeDPAConsultation","DPIA Outcome DPA Consultation","DPIA outcome status indicating a DPA consultation is required","dpv-gdpr:DPIAOutcomeStatus","a","","","","","","2022-06-22","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","",""
"DPIAOutcomeRisksMitigated","DPIA Outcome Risks Mitigated","DPIA outcome status indicated (all) risks have been mitigated","dpv-gdpr:DPIAOutcomeStatus","a","","","","","","2022-06-22","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","",""
"DPIAOutcomeHighResidualRisk","DPIA Outcome High Residual Risk","DPIA outcome status indicating high residual risk","dpv-gdpr:DPIAOutcomeStatus","a","","","","","","2022-06-22","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","",""
