"Term","Label","Description","ParentTerm","RelatedTerms","Relation","Comment","Source","Created","Modified","Status","Contributors","Resolution","","","","","","","","","","","","",""
"A13","A13 Right to be Informed","information to be provided where personal data is directly collected from data subject","dpv:DataSubjectRight","","","","(GDPR Art.13,https://eur-lex.europa.eu/eli/reg/2016/679/art_13/oj)","2020-11-04","","accepted","Beatriz Esteves, Georg Krog, Harshvardhan J. Pandit","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"A14","A14 Right to be Informed","information to be provided where personal data is collected from other sources","dpv:DataSubjectRight","","","","(GDPR Art.14,https://eur-lex.europa.eu/eli/reg/2016/679/art_14/oj)","2020-11-04","","accepted","Beatriz Esteves, Georg Krog, Harshvardhan J. Pandit","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"A15","A15 Right of Access","Right of access","dpv:DataSubjectRight","","","","(GDPR Art.15,https://eur-lex.europa.eu/eli/reg/2016/679/art_15/oj)","2020-11-04","","accepted","Beatriz Esteves, Georg Krog, Harshvardhan J. Pandit","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"A16","A16 Right to Rectification","Right to rectification","dpv:DataSubjectRight","","","","GDPR Art.16,https://eur-lex.europa.eu/eli/reg/2016/679/art_16/oj)","2020-11-04","","accepted","Beatriz Esteves, Georg Krog, Harshvardhan J. Pandit","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"A17","A17 Right to Erasure","Right to erasure ('Right to be forgotten')","dpv:DataSubjectRight","","","","GDPR Art.17,https://eur-lex.europa.eu/eli/reg/2016/679/art_17/oj)","2020-11-04","","accepted","Beatriz Esteves, Georg Krog, Harshvardhan J. Pandit","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"A18","A18 Right to Restrict Processing","Right to restriction of processing","dpv:DataSubjectRight","","","","GDPR Art.18,https://eur-lex.europa.eu/eli/reg/2016/679/art_18/oj)","2020-11-04","","accepted","Beatriz Esteves, Georg Krog, Harshvardhan J. Pandit","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"A19","A19 Right to Rectification","Right to be notified in case of rectification or erasure of personal data or restriction of processing","dpv:DataSubjectRight","","","","(GDPR Art.19,https://eur-lex.europa.eu/eli/reg/2016/679/art_19/oj)","2020-11-04","","accepted","Beatriz Esteves, Georg Krog, Harshvardhan J. Pandit","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"A20","A20 Right to Data Portability","Right to data portability","dpv:DataSubjectRight","","","","GDPR Art.20,https://eur-lex.europa.eu/eli/reg/2016/679/art_20/oj)","2020-11-04","","accepted","Beatriz Esteves, Georg Krog, Harshvardhan J. Pandit","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"A21","A21 Right to object","Right to object to processing of personal data","dpv:DataSubjectRight","","","","(GDPR Art.21,https://eur-lex.europa.eu/eli/reg/2016/679/art_21/oj)","2020-11-04","","accepted","Beatriz Esteves, Georg Krog, Harshvardhan J. Pandit","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"A22","A22 Right to object to automated decision making","Right not to be subject to a decision based solely on automated processing including profiling","dpv:DataSubjectRight","","","","(GDPR Art.22,https://eur-lex.europa.eu/eli/reg/2016/679/art_22/oj)","2020-11-04","","accepted","Beatriz Esteves, Georg Krog, Harshvardhan J. Pandit","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"A7-3","A7-3 Right to Withdraw Consent","Right to withdraw consent","dpv:DataSubjectRight","","","","(GDPR Art.7-3,https://eur-lex.europa.eu/eli/reg/2016/679/art_7/par_3/oj)","2020-11-04","","accepted","Beatriz Esteves, Georg Krog, Harshvardhan J. Pandit","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"A77","A77 Right to Complaint","Right to lodge a complaint with a supervisory authority","dpv:DataSubjectRight","","","","GDPR Art.77,https://eur-lex.europa.eu/eli/reg/2016/679/art_77/oj)","2020-11-04","","accepted","Beatriz Esteves, Georg Krog, Harshvardhan J. Pandit","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
