"Term","Label","Description","ParentTerm","ParentType","Value","RelatedTerms","Relation","Comment","Source","Created","Modified","Status","Contributors","Resolution","","","","","","","","","","","","",""
"Assessment","Assessment","The document, plan, or process for assessment or determination towards a purpose e.g. assessment of legality or impact assessments","dpv:OrganisationalMeasure","sc","","","","","","2021-09-08","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2021/07/07-dpvcg-minutes.html","","","","","","","","","","","","",""
"AssetManagementProcedures","Asset Management Procedures","Procedures related to management of assets","dpv:GovernanceProcedures","sc","","","","","(ENISA 5G Cybersecurity Standards,https://www.enisa.europa.eu/publications/5g-cybersecurity-standards)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","",""
"AuthorisationProcedure","Authorisation Procedure","Procedures for determining authorisation through permission or authority","dpv:OrganisationalMeasure","sc","","","","non-technical authorisation procedures: How is it described on an organisational level, who gets access to the data","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"BackgroundChecks","Background Checks","Procedure where the background of an entity is assessed to identity vulnerabilities and threats due to their current or intended role","dpv:SecurityProcedure","sc","","","","","(ENISA 5G Cybersecurity Standards,https://www.enisa.europa.eu/publications/5g-cybersecurity-standards)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","",""
"Certification","Certification","Certification mechanisms, seals, and marks for the purpose of demonstrating compliance","dpv:CertificationSeal","sc","","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"CertificationSeal","Certification and Seal","Certifications, seals, and marks indicating compliance to regulations or practices","dpv:OrganisationalMeasure","sc","","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"CodeOfConduct","Code of Conduct","A set of rules or procedures outlining the norms and practices for conducting activities","dpv:GuidelinesPrinciple","sc","","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"ComplianceMonitoring","Compliance Monitoring","Monitoring of compliance (e.g. internal policy, regulations)","dpv:GovernanceProcedures","sc","","","","","(ENISA 5G Cybersecurity Standards,https://www.enisa.europa.eu/publications/5g-cybersecurity-standards)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","",""
"ConsentNotice","Consent Notice","A Notice for information provision associated with Consent","dpv:PrivacyNotice","sc","","","","","","2022-06-21","","accepted","Georg P Krog, Harshvardhan J. Pandit, Paul Ryan, Julian Flake","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","",""
"ConsentRecord","Consent Record","A Record of Consent or Consent related activities","dpv:DataProcessingRecord","sc","","","","","","2022-06-22","","accepted","Georg P Krog, Harshvardhan J. Pandit, Paul Ryan, Julian Flake","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","",""
