"Term","Label","Description","ParentTerm","ParentType","Value","RelatedTerms","Relation","Comment","Source","Created","Modified","Status","Contributors","Resolution","","","","","","","","","","","","","","",""
"Purpose","Purpose","The purpose of processing personal data","dpv:Concept","a","","spl:AnyPurpose","rdfs:seeAlso","","(SPECIAL Project,https://specialprivacy.ercim.eu/)","2019-04-05","2020-11-04","accepted","Axel Polleres, Javier Fernández","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Sector","Sector","Indicate or restrict scope for interpretation and application of purpose in a domain e.g. Agriculture, Banking","dpv:Concept","a","","","","There are various sector codes used commonly to indicate the domain of an organisation or business. Examples include NACE (EU), ISIC (UN), SIC and NAICS (USA).","","2019-04-05","","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Customer / Account Management","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AccountManagement","Account Management","Create, maintain, and manage accounts for purposes of providing services","dpv:Purpose","sc","","","","","","2021-09-08","","accepted","Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves","https://www.w3.org/2021/09/08-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"CommunicationManagement","Communication Management","Manage communication or provide means for communication e.g. to send an email notifying some information","dpv:Purpose","sc","","","","This purpose by itself does not sufficiently and clearly indicate what the communication is about. As such, it is recommended to combine it with another purpose to indicate the application. For example, Communication of Payment.","","2021-09-01","","accepted","Georg P Krog, Paul Ryan, David Hickey, Harshvardhan J. Pandit","https://www.w3.org/2021/09/01-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"CustomerManagement","Customer Management","Manage past, current, and future customers","dpv:Purpose","sc","","","","","","2021-09-08","","accepted","Georg P Krog, Harshvardhan J. Pandit, Beatriz","https://www.w3.org/2021/09/08-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"CommunicationForCustomerCare","Communication for Customer Care","Communicate with customers for assisting them, resolving issues, ensuring satisfaction in relation to services provided","dpv:CustomerCare,dpv:CommunicationManagement","sc","","","","","","2020-11-04","","accepted","Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","","","",""
"CustomerCare","Customer Care","Provide assistance, resolve issues, ensure satisfaction in relation to services provided","dpv:CustomerManagement","sc","","svpu:Feedback","","","","2019-04-05","","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"CustomerClaimsManagement","Customer Claims Management","Manage claims, including repayment of monies owed","dpv:CustomerManagement","sc","","","","","(Belgian DPA ROPA Template, https://www.privacycommission.be/nl/model-voor-een-register-van-de-verwerkingsactiviteiten)","2021-09-08","","accepted","Georg P Krog, Harshvardhan J. Pandit, Beatriz","https://www.w3.org/2021/09/08-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"CustomerOrderManagement","Customer Order Management","Manage customer orders i.e. processing of an order related to customer's purchase of good or services","dpv:CustomerManagement","sc","","","","","(Belgian DPA ROPA Template, https://www.privacycommission.be/nl/model-voor-een-register-van-de-verwerkingsactiviteiten)","2021-09-08","","accepted","Georg P Krog, Harshvardhan J. Pandit, Beatriz","https://www.w3.org/2021/09/08-dpvcg-minutes.html","","","","","","","","","","","","","","",""
