"Term","Label","Description","ParentTerm","ParentType","Value","RelatedTerms","Relation","Comment","Source","Created","Modified","Status","Contributors","Resolution","","","","","","","","","","","","","","","","",""
"Right","Right","The right(s) applicable, provided, or expected","dpv:Concept","a","","","","A 'right' is a legal, social, or ethical principle of freedom or entitlement which dictate the norms regarding what is allowed or owed.. Rights as a concept encompass a broad area of norms and entities, and are not specific to Individuals or Data Protection / Privacy. For individual specific rights, see dpv:DataSubjectRight","","2020-11-18","","accepted","Harshvardhan J Pandit, Beatriz Esteves, Georg P Krog","https://www.w3.org/2020/11/18-dpvcg-minutes.html","","","","","","","","","","","","","","","","",""
"DataSubjectRight","Data Subject Right","The rights applicable or provided to a Data Subject","dpv:Right","sc","","","","Based on use of definitions, the notion of 'Data Subject Right' can be equivalent to 'Individual Right' or 'Right of a Person'","","2020-11-18","","accepted","Beatriz Esteves, Georg P Krog, Harshvardhan Pandit","https://www.w3.org/2020/11/18-dpvcg-minutes.html","","","","","","","","","","","","","","","","",""
"ActiveRight","Active Right","The right(s) applicable, provided, or expected that need to be (actively) exercised","dpv:Right","sc","","","","","","2022-10-22","","accepted","Harshvardhan J Pandit, Beatriz Esteves, Georg P Krog, Paul Ryan","","","","","","","","","","","","","","","","","",""
"PassiveRight","Passive Right","The right(s) applicable, provided, or expected that are always (passively) applicable","dpv:Right","sc","","","","","","2022-10-22","","accepted","Harshvardhan J Pandit, Beatriz Esteves, Georg P Krog, Paul Ryan","","","","","","","","","","","","","","","","","",""
"RightExercise","Right Exercise","The exercising of an active right","dpv:Concept","a","","","","","","2022-10-22","","accepted","Harshvardhan J Pandit, Beatriz Esteves, Georg P Krog, Paul Ryan","","","","","","","","","","","","","","","","","",""
"RightExerciseService","Right Exercise Service","A Service providing or implementing the exercising of right(s)","dpv:Concept","a","","","","","","2022-10-22","","proposed","Harshvardhan J Pandit, Beatriz Esteves, Georg P Krog, Paul Ryan","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","proposed","Harshvardhan J Pandit, Beatriz Esteves, Georg P Krog, Paul Ryan","","","","","","","","","","","","","","","","","",""
"RightExerciseRecord","Right Exercise Record","Record of a Right being exercised","dpv:Record","a","","","","","","2022-10-22","","proposed","Harshvardhan J Pandit, Beatriz Esteves, Georg P Krog, Paul Ryan","","","","","","","","","","","","","","","","","",""
"RightExerciseStatus","Right Exercise Status","Status of a Right being exercised","dpv:Status","a","","","","","","","","proposed","Harshvardhan J Pandit, Beatriz Esteves, Georg P Krog, Paul Ryan","","","","","","","","","","","","","","","","","",""
"RightPartiallyFulfilled","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RightFulfilled","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RightNotFulfilled","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
