"Term","Label","Description","ParentTerm","ParentType","Value","RelatedTerms","Relation","Comment","Source","Created","Modified","Status","Contributors","Resolution","","","","","","","","","","","","","","",""
"RiskAssessmentTechnique","Risk Assessment Technique","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"ALARP","ALARP","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"ALARA","ALARA","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"SFAIRP","SFAIRP","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"BayesianAnalysis","Bayesian analysis","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"BayesianNetworks","Bayesian networks","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"BowTie","Bow tie analysis","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"Brainstorming","Brainstorming","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"BusinessImpactAnalysis","Business impact analysis","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"CausalMapping","Causal mapping","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"CauseConsequenceAnalysis","Cause-consequence analysis","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"Checklists","Checklists","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"Classifications","Classifications","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"Taxonomies","Taxonomies","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"Cindynic","Cindynic approach","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"RiskMatrix","Risk Matrix ","Consequence/likelihood","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"CostBenefitAnalysis","Cost/benefit analysis","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"CrossImpactAnalysis","Cross impact analysis","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"DecisionTreeAnalysis","Decision tree analysis","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"DelphiTechnique","Delphi technique","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"EventTreeAnalysis","Event tree analysis","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"FailureModesEffectsAnalysis","Failure modes and effects analysis","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"FailureModesEffectsCriticalityAnalysis","Failure modes and effects and criticality analysis","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"FaultTreeAnalysis","Fault tree analysis","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"FNDiagrams","F-N diagrams","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"GameTheory","Game theory","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"HAZOP","Hazard and operability studies (HAZOP)","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"HACCP","Hazard analysis and critical control points (HACCP)","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"HumanReliabilityAnalysis","Human reliability analysis","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"Fishbone","Ishikawa (fishbone)","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"LOPA","Layer protection analysis (LOPA)","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"MarkovAnalysis","Markov analysis","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"MonteCarloSimulation","Monte Carlo simulation","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"MCA","Multi-criteria analysis (MCA)","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"NominalGroupTechnique","Nominal group technique","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"ParetoCharts","Pareto charts","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"PIA","Privacy impact analysis (PIA)","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"DPIA","Data Protection impact assessment (DPIA)","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"Reliability centred maintenance","Reliability centred maintenance","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"Risk indices","Risk indices","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"S-curves","S-curves","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"Scenario analysis","Scenario analysis","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"StructuredInterviews","Structured or semi-structured interviews","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"SWIFT","Structured ""What if?"" (SWIFT)","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"Surveys","Surveys","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"Toxicological","Toxicological risk assessment","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
"VaR","Value at risk (VaR)","","","","","","","","(IEC 31010:2019,https://www.iso.org/standard/72140.html)","","","proposed","","","","","","","","","","","","","","","","",""
