"Term","Label","Description","ParentTerm","ParentType","Value","RelatedTerms","Relation","Comment","Source","Created","Modified","Status","Contributors","Resolution","","","","","","","","","","","","","","",""
"AbusiveContentUtilisation","Abusive Content Utilisation","","dpv:Harm","sc","","","","","(ENISA Reference Incident Classification Taxonomy 2018,https://www.enisa.europa.eu/publications/reference-incident-classification-taxonomy/)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"AttackonPrivateLife","Attack on Private Life","","dpv:Harm","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"AuthorisationFailure","Authorisation Failure","","dpv:Detriment","sc","","","","","(ENISa Trust Services Security Incidents 2021,https://www.enisa.europa.eu/publications/trust-services-security-incidents-2021)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Blackmail","Blackmail","","dpv:Harm","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"BruteForceAuthorisations","Brute Force Authorisations","","dpv:Detriment","sc","","","","","(ENISA Reference Incident Classification Taxonomy 2018,https://www.enisa.europa.eu/publications/reference-incident-classification-taxonomy/)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Businessdisruption","Business disruption","","dpv:Detriment","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"BusinessImpact","Business impact","","dpv:Impact","sc","","","","","(ENISA Methodology for Sectoral Cybersecurity Assessments,https://www.enisa.europa.eu/publications/methodology-for-a-sectoral-cybersecurity-assessment)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"BusinessPerformanceImpairment","Business Performance Impairment","","dpv:Detriment","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"ChildViolence","Child Violence","","dpv:Harm","sc","","","","","(ENISA Reference Incident Classification Taxonomy 2018,https://www.enisa.europa.eu/publications/reference-incident-classification-taxonomy/)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"CitizensImpact","Citizens impact","","dpv:Impact","sc","","","","","(ENISA Methodology for Sectoral Cybersecurity Assessments,https://www.enisa.europa.eu/publications/methodology-for-a-sectoral-cybersecurity-assessment)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Coercion","Coercion","","dpv:Harm","sc","","","","","(ENISA Threat Taxonomy 2016,https://www.enisa.europa.eu/topics/threat-risk-management/threats-and-trends/enisa-threat-landscape/threat-taxonomy/view)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"ComplianceImpact","Compliance impact","","dpv:Impact","sc","","","","","(ENISA Methodology for Sectoral Cybersecurity Assessments,https://www.enisa.europa.eu/publications/methodology-for-a-sectoral-cybersecurity-assessment)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"CompromiseAccount","Compromise Account","","dpv:Harm","sc","","","","","(ENISA Reference Incident Classification Taxonomy 2018,https://www.enisa.europa.eu/publications/reference-incident-classification-taxonomy/)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"CompromiseAccountCredentials","Compromise Account Credentials","","dpv:Harm","sc","","","","","(ENISA Reference Incident Classification Taxonomy 2018,https://www.enisa.europa.eu/publications/reference-incident-classification-taxonomy/)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"CompromiseAccountSecurity","Compromise Account Security","","dpv:NonMaterialDamage","sc","","","","","(ENISA Reference Incident Classification Taxonomy 2018,https://www.enisa.europa.eu/publications/reference-incident-classification-taxonomy/)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"ConfidentialityBreach","Confidentiality Breach","","dpv:Detriment","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"CopyrightViolation","Copyright Violation","","dpv:NonMaterialDamage","sc","","","","","(ENISA Reference Incident Classification Taxonomy 2018,https://www.enisa.europa.eu/publications/reference-incident-classification-taxonomy/)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"CorruptionData","Corruption of Data","","dpv:Damage","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"CostAcquisition","Cost of Acquisition","","dpv:Detriment","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"CostBackup","Cost of Backup","","dpv:Detriment","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"CostConfiguration","Cost of Configuration","","dpv:Detriment","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"CostInstallation","Cost of Installation","","dpv:Detriment","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"CostJudicialPenalties","Cost of Judicial Penalties","","dpv:Detriment","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"CostJudicialProceedings","Cost of Judicial Proceedings","","dpv:Detriment","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"CostOperationInterruption","Cost of Operation Interruption","","dpv:Detriment","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"CostSuspendedOperations","Cost of Suspended Operations","","dpv:Detriment","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Cryptojacking","Cryptojacking","Cryptojacking or hidden cryptomining is a type of cybercrime where a criminal secretly uses a victim’s computing power to generate cryptocurrency","dpv:Detriment","sc","","","","","(ENISA Threat Landscape 2021,https://www.enisa.europa.eu/publications/enisa-threat-landscape-2021)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"CyberSpying","Cyber Spying","","dpv:NonMaterialDamage","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"CyberStalking","Cyber Stalking","","dpv:NonMaterialDamage","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"DamageByThirdParty","Damage by Third Party","","dpv:Damage","sc","","","","","(ENISA Threat Taxonomy 2016,https://www.enisa.europa.eu/topics/threat-risk-management/threats-and-trends/enisa-threat-landscape/threat-taxonomy/view)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"DangertoCustomers","Danger to Customers","","dpv:Harm","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"DangertoPersonnel","Danger to Personnel ","","dpv:Harm","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"DataBreach","Data Breach","","dpv:Damage","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"DenialServiceAttack","Denial of Service Attack (DoS)","","dpv:Detriment","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"DetrimentToRecovery","Detriment to Recovery","","dpv:Detriment","sc","","","","","(ENISA Threat Taxonomy 2016,https://www.enisa.europa.eu/topics/threat-risk-management/threats-and-trends/enisa-threat-landscape/threat-taxonomy/view)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Discrimination","Discrimination","","dpv:Harm","sc","","","","","","2022-08-19","","accepted","Georg P Krog","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"DistributedDenialServiceAttack","Distributed Denial of Service Attack (DDoS)","","dpv:Detriment","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Eavesdropping","Eavesdropping","","dpv:NonMaterialDamage","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"EconomicDisadvantage","Economic Disadvantage","","dpv:Impact","sc","","","","","","2022-08-19","","accepted","Georg P Krog","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"EnvironmentalSafetyEndangerment","Environmental Safety Endangerment","","dpv:Harm","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"EquipmentFailure","Equipment Failure","","dpv:Damage","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"EquipmentMalfunction","Equipment Malfunction","","dpv:Detriment","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"ErrornousSystemUse","Errornous System Use","","dpv:Detriment","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Extorsion","Extorsion","","dpv:Harm","sc","","","","","(ENISA Threat Taxonomy 2016,https://www.enisa.europa.eu/topics/threat-risk-management/threats-and-trends/enisa-threat-landscape/threat-taxonomy/view)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"FinancialEquipmentCosts","Financial Equipment Costs","","dpv:Detriment","sc","","","","","(ISO/IEC 27005:2018,https://www.iso.org/standard/75281.html)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/08/17-dpvcg-minutes.html","","","","","","","","","","","","","","",""
