"Term","Label","Description","ParentTerm","ParentType","Value","RelatedTerms","Relation","Comment","Source","Created","Modified","Status","Contributors","Resolution","","","","","","","","","","","","",""
"HaltSource","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RemoveSource","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AvoidSource","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ReduceLikelihood","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ReduceSeverity","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ChangeConsequence","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ChangeImpact","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RemoveConsequence","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RemoveImpact","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ShareRisk","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MonitorRisk","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MonitorRiskSource","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MonitorVulnerabilities","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MonitorConsequence","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MonitorImpact","","","","","","","","","","","","","","","","","","","","","","","","","","",""
