"Term","Label","Description","ParentTerm","ParentType","Value","RelatedTerms","Relation","Comment","Source","Created","Modified","Status","Contributors","Resolution","","","","","","","","","","","","","","",""
"RiskManagement","Risk Management","","dpv:Concept","sc","","","","","","","","","","","","","","","","","","","","","","","","",""
"RiskAssessment","Risk Assessment","The overall process of assessing risk comprising of risk identification, risk analysis, and risk evaluation","risk:RiskManagement","sc","","","","","","","","","","","","","","","","","","","","","","","","",""
"RiskIdentification","Risk Identification","The process of process of finding, recognising, and describing risks","risk:RiskAssessment","sc","","","","","","","","","","","","","","","","","","","","","","","","",""
"RiskAnalysis","Risk Analysis","","risk:RiskAssessment","sc","","","","","","","","","","","","","","","","","","","","","","","","",""
"RiskEvaluation","Risk Evaluation","","risk:RiskAssessment","sc","","","","","","","","","","","","","","","","","","","","","","","","",""
"RiskAcceptance","Risk Acceptance","","risk:RiskManagement","sc","","","","","","","","","","","","","","","","","","","","","","","","",""
"ThreatIdentification","Threat Identification","","risk:RiskManagement","sc","","","","","","","","","","","","","","","","","","","","","","","","",""
"ThreatEvaluation","Threat Evaluation","","risk:RiskManagement","sc","","","","","","","","","","","","","","","","","","","","","","","","",""
"RiskMitigation","Risk Mitigation","","risk:RiskManagement","sc","","","","","","","","","","","","","","","","","","","","","","","","",""
"RiskControlAssessment","Risk Control Assessment","","risk:RiskManagement","sc","","","","","","","","","","","","","","","","","","","","","","","","",""
"RiskTreatment","Risk Treatment","","risk:RiskManagement","sc","","","","","","","","","","","","","","","","","","","","","","","","",""
"RiskPerception","Risk Perception","A view or perspective on risk based on beliefs, knowledge, values, needs, or other criteria","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RiskCriteria","Risk Criteria","Terms of reference against which the significance of risk is evaluated","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Risk Source","Risk Source","An element which alone or in combination has the potential to give rise to risk","","","","","","","","","","","","","","","","","","","","","","","","","","",""
