"Term","Label","Description","ParentTerm","ParentType","Value","RelatedTerms","Relation","Comment","Source","Created","Modified","Status","Contributors","Resolution","","","","","","","","","","","","","","",""
"RM3x3","Risk Matrix 3x3","A Risk Matrix with 3 Likelihood, 3 Severity, and 3 Risk Level types","risk:RiskMatrix","sc","","","","","","","","accepted","","","","","","","","","","","","","","","","",""
"RM5x5","Risk Matrix 5x5","A Risk Matrix with 5 Likelihood, 5 Severity, and 5 Risk Level types","risk:RiskMatrix","sc","","","","","","","","accepted","","","","","","","","","","","","","","","","",""
"RM7x7","Risk Matrix 7x7","A Risk Matrix with 7 Likelihood, 7 Severity, and 7 Risk Level types","risk:RiskMatrix","sc","","","","","","","","accepted","","","","","","","","","","","","","","","","",""
"RM3x3R1C1","Low Risk","Node (row: 1 col: 1) in 3x3 risk matrix with Risk Level: Low Severity: Low and Likelihood: Low","risk:RiskMatrix3x3","a","","hasRiskLevel, hasSeverity, hasLikelihood","","","","","","accepted","","","","","","","","","","","","","","","","",""
"RM3x3R1C2","Low Risk","Node (row: 1 col: 2) in 3x3 risk matrix with Risk Level: Low Severity: Moderate and Likelihood: Low","risk:RiskMatrix3x3","a","","","","","","","","accepted","","","","","","","","","","","","","","","","",""
"RM3x3R2C1","Low Risk","Node (row: 2 col: 1) in 3x3 risk matrix with Risk Level: Low Severity: Low and Likelihood: Moderate","risk:RiskMatrix3x3","a","","","","","","","","accepted","","","","","","","","","","","","","","","","",""
"RM3x3R1C3","Moderate Risk","Node (row: 1 col: 3) in 3x3 risk matrix with Risk Level: Moderate Severity: High and Likelihood: Low","risk:RiskMatrix3x3","a","","","","","","","","accepted","","","","","","","","","","","","","","","","",""
"RM3x3R3C1","Moderate Risk","Node (row: 3 col: 1) in 3x3 risk matrix with Risk Level: Moderate Severity: Low and Likelihood: High","risk:RiskMatrix3x3","a","","","","","","","","accepted","","","","","","","","","","","","","","","","",""
"RM3x3R2C2","Moderate Risk","Node (row: 2 col: 2) in 3x3 risk matrix with Risk Level: Moderate Severity: Moderate and Likelihood: Moderate","risk:RiskMatrix3x3","a","","","","","","","","accepted","","","","","","","","","","","","","","","","",""
"RM3x3R2C3","High Risk","Node (row: 2 col: 3) in 3x3 risk matrix with Risk Level: High Severity: High and Likelihood: Moderate","risk:RiskMatrix3x3","a","","","","","","","","accepted","","","","","","","","","","","","","","","","",""
"RM3x3R3C2","High Risk","Node (row: 3 col: 2) in 3x3 risk matrix with Risk Level: High Severity: Moderate and Likelihood: High","risk:RiskMatrix3x3","a","","","","","","","","accepted","","","","","","","","","","","","","","","","",""
"RM3x3R3C3","High Risk","Node (row: 3 col: 3) in 3x3 risk matrix with Risk Level: High Severity: High and Likelihood: High","risk:RiskMatrix3x3","a","","","","","","","","accepted","","","","","","","","","","","","","","","","",""
"RM5x5R1C1","Very Low Risk","Node (row: 1 col: 1) in 5x5 risk matrix with Risk Level: VeryLow Severity: VeryLow and Likelihood: VeryLow","risk:RiskMatrix5x5","a","","","","","","","","accepted","","","","","","","","","","","","","","","","",""
"RM5x5R1C2","Very Low Risk","Node (row: 1 col: 2) in 5x5 risk matrix with Risk Level: VeryLow Severity: Low and Likelihood: VeryLow","risk:RiskMatrix5x5","a","","","","","","","","accepted","","","","","","","","","","","","","","","","",""
"RM5x5R2C1","Very Low Risk","Node (row: 2 col: 1) in 5x5 risk matrix with Risk Level: VeryLow Severity: VeryLow and Likelihood: Low","risk:RiskMatrix5x5","a","","","","","","","","accepted","","","","","","","","","","","","","","","","",""
"RM5x5R1C3","Very Low Risk","Node (row: 1 col: 3) in 5x5 risk matrix with Risk Level: VeryLow Severity: Moderate and Likelihood: VeryLow","risk:RiskMatrix5x5","a","","","","","","","","accepted","","","","","","","","","","","","","","","","",""
"RM5x5R3C1","Very Low Risk","Node (row: 3 col: 1) in 5x5 risk matrix with Risk Level: VeryLow Severity: VeryLow and Likelihood: Moderate","risk:RiskMatrix5x5","a","","","","","","","","accepted","","","","","","","","","","","","","","","","",""
"RM5x5R1C4","Low Risk","Node (row: 1 col: 4) in 5x5 risk matrix with Risk Level: Low Severity: High and Likelihood: VeryLow","risk:RiskMatrix5x5","a","","","","","","","","accepted","","","","","","","","","","","","","","","","",""
