"Term","Label","Description","ParentTerm","RelatedTerms","Relation","Comment","Source","Created","Modified","Status","Contributors","Resolution","","","","","","","","","","","","",""
"TechnicalMeasure","Technical Measure","Technical measures required/followed when processing data of the declared category","dpv:TechnicalOrganisationalMeasure","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"PseudonymisationEncryption","Pseudonymisation and Encryption","Technical measures consisting of pseudoanonymization and encryption","dpv:TechnicalMeasure","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"EncryptionInRest","Encryption in Rest","Encryption of data when being stored (persistent encryption)","dpv:PseudonymisationEncryption","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"EncryptionInTransfer","Encryption in Transfer","Encryption of data in transit e.g. when being transferred from one location to another, including sharing","dpv:PseudonymisationEncryption","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"PseudoAnonymization","Pseudo-Anonymization","PseudoAnonmyization or 'pseudonymisation’ means the processing of personal data in such a manner that the personal data can no longer be attributed to a specific data subject without the use of additional information, provided that such additional information is kept separately and is subject to technical and organisational measures to ensure that the personal data are not attributed to an identified or identifiable natural person;","dpv:PseudonymisationEncryption","","","","(GDPR Art.4-5,https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_5/oj)","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"DeIdentification","De-Identification","Conversion of identifiable personal data (PII) to un-identifiable personal data","dpv:PseudoAnonymization","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"Anonymization","Anonymization","Altering personal data irreversibly such that a data subject can no longer be identified directly or indirectly, either by the data controller alone or in collaboration with any other party","dpv:PseudoAnonymization","","","","(GDPR Art.4-5,https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_5/oj)","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"AccessControlMethod","Access Control Method","Methods which restrict access to a place or resource","dpv:TechnicalMeasure","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"AuthenticationProtocols","Authentication Protocols","Protocols involving validation of identity i.e. authentication of a person or information","dpv:TechnicalMeasure","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"StorageRestriction","Storage Restriction","Restrictions required or followed regarding storage of data","dpv:TechnicalMeasure","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"StorageDuration","Storage Duration","Duration or temporal entity denoting limitation on storage of personal data","dpv:StorageRestriction","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"StorageLocation","Storage Location","Location or geospatial scope where the data is stored","dpv:StorageRestriction","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"StorageDeletion","Storage Deletion","Deletion or Erasure of data including any deletion guarantees","dpv:StorageRestriction","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"StorageRestoration","Storage Restoration","Regularity and temporal span of data restoration/backup mechanisms that guarantee that data is preserved","dpv:StorageRestriction","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"OrganisationalMeasure","Organisational Measure","Organisational measures required/followed when processing data of the declared category","dpv:TechnicalOrganisationalMeasure","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"AuthorisationProcedure","Authorisation Procedure","Procedures for determining authorisation through permission or authority","dpv:OrganisationalMeasure","","","non-technical authorisation procedures: How is it described on an organisational level, who gets access to the data","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"LegalAgreement","Legal Agreement","A legally binding agreement","dpv:OrganisationalMeasure","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"NDA","Non-Disclosure Agreement (NDA)","Non-disclosure Agreements e.g. preserving confidentiality of information","dpv:LegalAgreement","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"Contract","Contract","Contractual terms governing data handling within the data controller","dpv:LegalAgreement","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"GuidelinesPrinciple","GuidelinesPrinciple","Guidelines or Principles regarding processing and operational measures","dpv:OrganisationalMeasure","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"CodeOfConduct","Code of Conduct","A set of rules or procedures outlining the norms and practices for conducting activities","dpv:GuidelinesPrinciple","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"DesignStandard","Design Standard","A set of rules or guidelines outlining criterias for design","dpv:GuidelinesPrinciple","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"PrivacyByDefault","Privacy by Default","Practices regarding selecting appropriate data protection and privacy measures as the 'default' in an activity or service","dpv:GuidelinesPrinciple","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"RiskManagementProcedure","Risk Management Procedure","Risk management refers to a coordinated set of activities and methods that is used to direct an organization and to control the many risks that can affect its ability to achieve objectives.  The term risk management also refers to the programme that is used to manage risk. This programme includes risk management principles, a risk management framework, and a risk management process.","dpv:OrganisationalMeasure","","","Data Protection Impact Assessments as per GDPR art 35, other Privacy Impact Assessments, threat severity assessment https://www.cnil.fr/en/privacy-impact-assessment-pia","(ISO 31000,https://www.iso.org/iso-31000-risk-management.html)","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"PrivacyByDesign","Privacy by Design","Practices regarding incorporating data protection and privacy in the design of information and services","dpv:RiskManagementProcedure","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"RegularityOfRecertification","Regularity of Re-certification","Policy regarding repetition or renewal of existing certification(s)","dpv:RiskManagementProcedure","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"StaffTraining","Staff Training","Practices and policies regarding training of staff members","dpv:RiskManagementProcedure","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"CertificationSeal","Certification and Seal","Certifications, seals, and marks indicating compliance to regulations or practices","dpv:OrganisationalMeasure","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"Certification","Certification","Certification mechanisms, seals, and marks for the purpose of demonstrating compliance","dpv:CertificationSeal","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"Seal","Seal","A seal or a mark indicating proof of certification to some certification or standard","dpv:CertificationSeal","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"SingleSignOn","Single Sign On","Use of credentials or processes that enable using one set of credentials to authenticate multiple contexts.","dpv:AuthenticationProtocols","","","","","2020-11-04","","accepted","Georg P Krog, Harshvardhan J. Pandit, Paul Ryan","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"ImpactAssessment","Impact Assessment","Calculating or determining the likelihood of impact of an existing or proposed process, which can involve risks or detriments.","dpv:OrganisationalMeasure","","","","","2020-11-04","","accepted","Georg P Krog, Harshvardhan J. Pandit, Paul Ryan","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"PIA","Privacy Impact Assessment","Carrying out an impact assessment regarding privacy risks ","dpv:ImpactAssessment","","","","","2020-11-04","","accepted","Georg P Krog, Harshvardhan J. Pandit, Paul Ryan","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"DPIA","Data Protection Impact Assessment (DPIA)","A DPIA involves determining the potential and actual impact of processing activities on individuals or groups of individuals","dpv:ImpactAssessment","","","Top class: Impact Assessment, and DPIA is sub-class","","2020-11-04","","accepted","Georg P Krog, Harshvardhan J. Pandit, Paul Ryan","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"Consultation","Consultation","Consultation is a process of receiving feedback, advice, or opinion from an external agency","dpv:OrganisationalMeasure","","","","","2020-11-04","","accepted","Georg P Krog, Harshvardhan J. Pandit, Paul Ryan","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"ConsultationWithAuthority","Consultation with Authority","Consultation with an authority or authoritative entity","dpv:Consultation","","","","","2020-11-04","","accepted","Georg P Krog, Harshvardhan J. Pandit, Paul Ryan","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"RiskMitigationMeasure","Risk Mitigation Measure","Measures intended to mitigate, minimise, or prevent risk.","dpv:TechnicalOrganisationalMeasure","","","","","2020-11-04","","accepted","Georg P Krog, Harshvardhan J. Pandit, Paul Ryan","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"Assessment","Assessment","The document, plan, or process for assessment or determination.  ","dpv:OrganisationalMeasure","","","","","","","proposed","","https://www.w3.org/2021/07/07-dpvcg-minutes.html","","","","","","","","","","","","",""
"Safeguard","Safeguard","","dpv:OrganisationalMeasure","","","","","","","proposed","","https://www.w3.org/2021/07/07-dpvcg-minutes.html","","","","","","","","","","","","",""
"SafeguardForDataTransfer","Safeguard for Data Transfer","Represents a safeguard used for data transfer. Can include technical or organisational measures.","dpv:Safeguard","","","","","","","proposed","Georg P Krog, Harshvardhan J. Pandit, Paul Ryan","https://www.w3.org/2021/07/07-dpvcg-minutes.html","","","","","","","","","","","","",""
"PrivacyNotice","Privacy Notice","Represents a notice or document outlining information regarding privacy","dpv:Notice","","","","","","","proposed","Georg P Krog, Harshvardhan J. Pandit, Paul Ryan","https://www.w3.org/2021/07/07-dpvcg-minutes.html","","","","","","","","","","","","",""
"LegitimateInterestAssessment","Legitimate Interest Assessment","Indicates an assessment regarding the use of legitimate interest as a lawful basis by the data controller","dpv:Assessment","","","","","","","proposed","Georg P Krog, Harshvardhan J. Pandit, Paul Ryan","https://www.w3.org/2021/07/07-dpvcg-minutes.html","","","","","","","","","","","","",""
"TransferImpactAssessment","Transfer Impact Assessment","","dpv:ImpactAssessment","","","","","","","proposed","Georg P Krog, Harshvardhan J. Pandit, Paul Ryan","https://www.w3.org/2021/07/07-dpvcg-minutes.html","","","","","","","","","","","","",""
"BindingCorporateRules","Binding Corporate Rules","","dpv:Policy","","","","","","","proposed","","https://www.w3.org/2021/07/07-dpvcg-minutes.html","","","","","","","","","","","","",""
"StandardContractualClauses","Standard Data Protection Clauses","","dpv:Policy","","","","","","","proposed","","https://www.w3.org/2021/07/07-dpvcg-minutes.html","","","","","","","","","","","","",""
"Notice","Notice","A notice is an artefact for providing information, choices, or controls","dpv:OrganisationalMeasure","","","","","","","proposed","","https://www.w3.org/2021/07/07-dpvcg-minutes.html","","","","","","","","","","","","",""
"Policy","Policy","A guidance document outlining any of: procedures, plans, principles, decisions, intent, or protocols.","dpv:OrganisationalMeasure","","","","","","","proposed","","https://www.w3.org/2021/07/07-dpvcg-minutes.html","","","","","","","","","","","","",""
"RecordsOfActivities","Records of Activities","","dpv:OrganisationalMeasure","","","","","","","proposed","","https://www.w3.org/2021/07/07-dpvcg-minutes.html","","","","","","","","","","","","",""
"ProcessingRecords","Processing Records","","dpv:RecordsOfActivities","","","","","","","proposed","","https://www.w3.org/2021/07/07-dpvcg-minutes.html","","","","","","","","","","","","",""
"RegisterOfProcessingActivities","Register of Processing Activities","A ROPA is a document maintained by Data Controllers detailing processing activities carried out under their responsibility","dpv:ProcessingRecords","","","Tied to compliance processes and documents, decide how to specify those","","","","proposed","Georg P Krog, Harshvardhan J. Pandit, Paul Ryan","https://www.w3.org/2021/07/07-dpvcg-minutes.html","","","","","","","","","","","","",""
