"Term Concepts in DPV this extends dpv:Technology dpv:hasTechnology Core Concepts in dpv-tech","Label ","Description Technology Associates use or applicability of technology ","ParentTerm dpv:Concept dpv:Relation ","RelatedTerms ","Relation ","Comment ","Source ","Created ","Modified ","Status ","Contributors ","Resolution ","","","","","","","","","","","","","","",""
"DataTechnology","Data Technology","Technology that uses or interacts with data","dpv:Technology","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"OperationalTechnology","Operational Technology","Technology that enables or performs or executes operations and processes","dpv:Technology","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"SecurityTechnology","Security Technology","Technology that enables or provides security","dpv:Technology","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"ManagementTechnology","Management Technology","Technology that enables or provides management","dpv:Technology","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"IdentityTechnology","Identity Technology","Technology related to identity or identifiers","dpv:Technology","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"SurveillanceTechnology","Surveillance Technology","Technology related to surveillance of individuals or people","dpv:Technology","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Data Technologies","Data Technologies","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DataCopyingTechnology","Data Copying Technology","Technology related to copying data","dpv-tech:DataTechnology","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"DataDisclosureTechnology","Data Disclosure Technology","Technology related to disclosing data","dpv-tech:DataTechnology","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"DataObtainingTechnology","Data Obtaining Technology","Technology related to obtain data","dpv-tech:DataTechnology","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"DataOrganisingTechnology","Data Organising Technology","Technology realted to organising data","dpv-tech:DataTechnology","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"DataRemovalTechnology","Data Removal Technology","Technology related to removing data","dpv-tech:DataTechnology","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"DataStorageTechnology","Data Storage Technology","Technology related to storing data","dpv-tech:DataTechnology","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"DataTransferTechnology","Data Transfer Technology","Technology related to transfering data","dpv-tech:DataTechnology","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"DataTransformationTechnology","Data Transformation Technology","Technology related to transforming data","dpv-tech:DataTechnology","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"DataUsageTechnology","Data Usage Technology","Technology related to using data","dpv-tech:DataTechnology","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"DataSecurityTechnology","Data Security Technology","Technology related to security of data","dpv-tech:DataTechnology,dpv-tech:SecurityTechnology","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"DataManagementTechnology","Data Management Technology","Technology related to management of data","dpv-tech:DataTechnology,dpv-tech:ManagementTechnology","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Operations / Processing Technologies","Operations / Processing Technologies","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OperationEnvironment","Operation Environment","Technology that provides an environment for operations to be executed","dpv-tech:OperationalTechnology","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"OperationDevice","Operation Device","Technology that acts as an equipment or mechanism for operations","dpv-tech:OperationalTechnology","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"OperationManagement","Operation Management","Technology that manages operations","dpv-tech:OperationalTechnology","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Application","Application","A computing or digital program","dpv-tech:OperationalTechnology","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"OperationManagementTechnology","Operation Management Technology","Technology related to management of operations (alt label)","dpv-tech:OperationalTechnology,dpv-tech:ManagementTechnology","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Security related Technologies","Security related Technologies","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PET","PET (Privacy Enhancing Technology)","Privacy Enhancing Technologies (PETs) that provide minimisation or security related to data and privacy","dpv-tech:SecurityTechnology","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit, Julian Flake, Georg P Krog, Paul Ryan","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"DetectionSecurityTechnology","Detection Security Technology","Technology related to detection of vulnerabilities, threats, and exploitations","dpv-tech:SecurityTechnology","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit, Julian Flake, Georg P Krog, Paul Ryan","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"PreventionSecurityTechnology","Prevention Security Technology","Technology related to prevention of vulnerabilities, threats, exploitations","dpv-tech:SecurityTechnology","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit, Julian Flake, Georg P Krog, Paul Ryan","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"MitigationSecurityTechnology","Mitigation Security Technology","Technology related to mitigation of vulnerabilities, threats, exploitations","dpv-tech:SecurityTechnology","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit, Julian Flake, Georg P Krog, Paul Ryan","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"MonitoringSecurityTechnology","Monitoring Security Technology","Technology related to monitoring of vulnerabilities, threats, exploitations","dpv-tech:SecurityTechnology","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit, Julian Flake, Georg P Krog, Paul Ryan","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
