"Term Data Technologies","Label Data Technologies","Description ","ParentTerm ","ParentType ","Value ","RelatedTerms ","Relation ","Comment ","Source ","Created ","Modified ","Status ","Contributors ","Resolution ","","","","","","","","","","","","","","","",""
"DataCopyingTechnology","Data Copying Technology","Technology related to copying data","dpv-tech:DataTechnology","sc","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","","",""
"DataDisclosureTechnology","Data Disclosure Technology","Technology related to disclosing data","dpv-tech:DataTechnology","sc","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","","",""
"DataObtainingTechnology","Data Obtaining Technology","Technology related to obtain data","dpv-tech:DataTechnology","sc","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","","",""
"DataOrganisingTechnology","Data Organising Technology","Technology realted to organising data","dpv-tech:DataTechnology","sc","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","","",""
"DataRemovalTechnology","Data Removal Technology","Technology related to removing data","dpv-tech:DataTechnology","sc","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","","",""
"DataStorageTechnology","Data Storage Technology","Technology related to storing data","dpv-tech:DataTechnology","sc","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","","",""
"DataTransferTechnology","Data Transfer Technology","Technology related to transfering data","dpv-tech:DataTechnology","sc","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","","",""
"DataTransformationTechnology","Data Transformation Technology","Technology related to transforming data","dpv-tech:DataTechnology","sc","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","","",""
"DataUsageTechnology","Data Usage Technology","Technology related to using data","dpv-tech:DataTechnology","sc","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","","",""
"DataSecurityTechnology","Data Security Technology","Technology related to security of data","dpv-tech:DataTechnology,dpv-tech:SecurityTechnology","sc","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","","",""
"DataManagementTechnology","Data Management Technology","Technology related to management of data","dpv-tech:DataTechnology,dpv-tech:ManagementTechnology","sc","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","","",""
"DataIntermediationTechnology","Data Intermediation Technology","Technology related to the provision of data intermediation services","dpv:Technology","","","","","","DGA 10.a","","","proposed","","","","","","","","","","","","","","","","","",""
