term,type,iri,label,definition,dpvtype,subclassof,hasbroader,scopenote,created,modified,vocab,namespace
LegalMeasure,class,https://w3id.org/dpv#LegalMeasure,Legal Measure,Legal measures used to safeguard and ensure good practices in connection with data and technologies,,https://w3id.org/dpv#TechnicalOrganisationalMeasure,https://w3id.org/dpv#TechnicalOrganisationalMeasure,,2023-12-10,2023-12-10,dpv,https://w3id.org/dpv
OrganisationalMeasure,class,https://w3id.org/dpv#OrganisationalMeasure,Organisational Measure,Organisational measures used to safeguard and ensure good practices in connection with data and technologies,,https://w3id.org/dpv#TechnicalOrganisationalMeasure,https://w3id.org/dpv#TechnicalOrganisationalMeasure,,2019-04-05,2023-12-10,dpv,https://w3id.org/dpv
PhysicalMeasure,class,https://w3id.org/dpv#PhysicalMeasure,Physical Measure,Physical measures used to safeguard and ensure good practices in connection with data and technologies,,https://w3id.org/dpv#TechnicalOrganisationalMeasure,https://w3id.org/dpv#TechnicalOrganisationalMeasure,,2023-12-10,2023-12-10,dpv,https://w3id.org/dpv
TechnicalMeasure,class,https://w3id.org/dpv#TechnicalMeasure,Technical Measure,Technical measures used to safeguard and ensure good practices in connection with data and technologies,,https://w3id.org/dpv#TechnicalOrganisationalMeasure,https://w3id.org/dpv#TechnicalOrganisationalMeasure,,2019-04-05,2023-12-10,dpv,https://w3id.org/dpv
TechnicalOrganisationalMeasure,class,https://w3id.org/dpv#TechnicalOrganisationalMeasure,Technical and Organisational Measure,Technical and Organisational measures used to safeguard and ensure good practices in connection with data and technologies,,,,,2019-04-05,2023-12-10,dpv,https://w3id.org/dpv
hasAssessment,property,https://w3id.org/dpv#hasAssessment,has assessment,Indicates a relevant assessment associated with the specific context,,,https://w3id.org/dpv#hasOrganisationalMeasure,,2024-04-14,,dpv,https://w3id.org/dpv
hasEntityControl,property,https://w3id.org/dpv#hasEntityControl,has entity control,Indicates a control or measure provided for an entity to perform the specified action,,,https://w3id.org/dpv#hasTechnicalOrganisationalMeasure,,2024-04-14,,dpv,https://w3id.org/dpv
hasLegalMeasure,property,https://w3id.org/dpv#hasLegalMeasure,has legal measure,Indicates use or applicability of Legal measure,,,https://w3id.org/dpv#hasOrganisationalMeasure,,2023-12-10,,dpv,https://w3id.org/dpv
hasNotice,property,https://w3id.org/dpv#hasNotice,has notice,Indicates the use or applicability of a Notice for the specified context,,,https://w3id.org/dpv#hasOrganisationalMeasure,,2022-06-22,,dpv,https://w3id.org/dpv
hasOrganisationalMeasure,property,https://w3id.org/dpv#hasOrganisationalMeasure,has organisational measure,Indicates use or applicability of Organisational measure,,,https://w3id.org/dpv#hasTechnicalOrganisationalMeasure,,2022-02-09,,dpv,https://w3id.org/dpv
hasPhysicalMeasure,property,https://w3id.org/dpv#hasPhysicalMeasure,has physical measure,Indicates use or applicability of Physical measure,,,https://w3id.org/dpv#hasTechnicalOrganisationalMeasure,,2023-12-10,,dpv,https://w3id.org/dpv
hasPolicy,property,https://w3id.org/dpv#hasPolicy,has policy,Indicates policy applicable or used,,,https://w3id.org/dpv#hasTechnicalOrganisationalMeasure,,2022-01-26,,dpv,https://w3id.org/dpv
hasRecordOfActivity,property,https://w3id.org/dpv#hasRecordOfActivity,has record of activity,Indicates a relevant record of activity,,,https://w3id.org/dpv#hasOrganisationalMeasure,,2024-05-05,,dpv,https://w3id.org/dpv
hasTechnicalMeasure,property,https://w3id.org/dpv#hasTechnicalMeasure,has technical measure,Indicates use or applicability of Technical measure,,,https://w3id.org/dpv#hasTechnicalOrganisationalMeasure,,2022-02-09,,dpv,https://w3id.org/dpv
hasTechnicalOrganisationalMeasure,property,https://w3id.org/dpv#hasTechnicalOrganisationalMeasure,has technical and organisational measure,Indicates use or applicability of Technical or Organisational measure,,,,,2019-04-04,2020-11-04,dpv,https://w3id.org/dpv
isPolicyFor,property,https://w3id.org/dpv#isPolicyFor,is policy for,Indicates the context or application of policy,,,,,2022-01-26,,dpv,https://w3id.org/dpv
supportsComplianceWith,property,https://w3id.org/dpv#supportsComplianceWith,supports Compliance With,Indicate the measure is required for meeting specified requirement or satisfying specified condition/constraint,,,,,2024-04-14,,dpv,https://w3id.org/dpv
