term,type,iri,label,definition,dpvtype,subclassof,hasbroader,scopenote,created,modified,vocab,namespace
ConsentExpired,class,https://w3id.org/dpv/v2.0#ConsentExpired,Consent Expired,The state where the temporal or contextual validity of consent has 'expired',https://w3id.org/dpv/v2.0#ConsentStatus,,https://w3id.org/dpv/v2.0#ConsentStatusInvalidForProcessing,"An example of this state is when the obtained consent has been assigned a duration - which has lapsed or 'expired', making it invalid to be used further for processing data;An example of this state is when the obtained consent has been assigned a duration - which has lapsed or 'expired', making it invalid to be used further for processing data;An example of this state is when the obtained consent has been assigned a duration - which has lapsed or 'expired', making it invalid to be used further for processing data",2022-06-22,,dpv,https://w3id.org/dpv/v2.0
ConsentGiven,class,https://w3id.org/dpv/v2.0#ConsentGiven,Consent Given,The state where consent has been given,https://w3id.org/dpv/v2.0#ConsentStatus,,https://w3id.org/dpv/v2.0#ConsentStatusValidForProcessing,"An example of this state is when the individual clicks on a button, ticks a checkbox, verbally agrees - or any other form that communicates their decision agreeing to the processing of data;An example of this state is when the individual clicks on a button, ticks a checkbox, verbally agrees - or any other form that communicates their decision agreeing to the processing of data;An example of this state is when the individual clicks on a button, ticks a checkbox, verbally agrees - or any other form that communicates their decision agreeing to the processing of data",2022-06-22,,dpv,https://w3id.org/dpv/v2.0
ConsentInvalidated,class,https://w3id.org/dpv/v2.0#ConsentInvalidated,Consent Invalidated,The state where consent has been deemed to be invalid,https://w3id.org/dpv/v2.0#ConsentStatus,,https://w3id.org/dpv/v2.0#ConsentStatusInvalidForProcessing,"An example of this state is where an investigating authority or a court finds the collected consent did not meet requirements, and 'invalidates' both prior and future uses of it to carry out processing;An example of this state is where an investigating authority or a court finds the collected consent did not meet requirements, and 'invalidates' both prior and future uses of it to carry out processing;An example of this state is where an investigating authority or a court finds the collected consent did not meet requirements, and 'invalidates' both prior and future uses of it to carry out processing",2022-06-22,,dpv,https://w3id.org/dpv/v2.0
ConsentRefused,class,https://w3id.org/dpv/v2.0#ConsentRefused,Consent Refused,The state where consent has been refused,https://w3id.org/dpv/v2.0#ConsentStatus,,https://w3id.org/dpv/v2.0#ConsentStatusInvalidForProcessing,"An example of this state is when the individual clicks on a 'disagree' or 'reject' or 'refuse' button, or leaves a checkbox unticked;An example of this state is when the individual clicks on a 'disagree' or 'reject' or 'refuse' button, or leaves a checkbox unticked;An example of this state is when the individual clicks on a 'disagree' or 'reject' or 'refuse' button, or leaves a checkbox unticked",2022-06-22,,dpv,https://w3id.org/dpv/v2.0
ConsentRequestDeferred,class,https://w3id.org/dpv/v2.0#ConsentRequestDeferred,Consent Request Deferred,State where a request for consent has been deferred without a decision,https://w3id.org/dpv/v2.0#ConsentStatus,,https://w3id.org/dpv/v2.0#ConsentStatusInvalidForProcessing,An example of this state is when the individual closes or dismisses a notice without making a decision. This state is intended for making the distinction between a notice being provided (as a consent request) and the individual interacting with the notice without making a decision - where the 'ignoring of a notice' is taken as consent being neither given nor refused;An example of this state is when the individual closes or dismisses a notice without making a decision. This state is intended for making the distinction between a notice being provided (as a consent request) and the individual interacting with the notice without making a decision - where the 'ignoring of a notice' is taken as consent being neither given nor refused;An example of this state is when the individual closes or dismisses a notice without making a decision. This state is intended for making the distinction between a notice being provided (as a consent request) and the individual interacting with the notice without making a decision - where the 'ignoring of a notice' is taken as consent being neither given nor refused,2022-06-22,,dpv,https://w3id.org/dpv/v2.0
ConsentRequested,class,https://w3id.org/dpv/v2.0#ConsentRequested,Consent Requested,State where a request for consent has been made and is awaiting a decision,https://w3id.org/dpv/v2.0#ConsentStatus,,https://w3id.org/dpv/v2.0#ConsentStatusInvalidForProcessing,An example of this state is when a notice has been presented to the individual but they have not made a decision;An example of this state is when a notice has been presented to the individual but they have not made a decision;An example of this state is when a notice has been presented to the individual but they have not made a decision,2022-06-22,,dpv,https://w3id.org/dpv/v2.0
ConsentRevoked,class,https://w3id.org/dpv/v2.0#ConsentRevoked,Consent Revoked,The state where the consent is revoked by an entity other than the data subject and which prevents it from being further used as a valid state,https://w3id.org/dpv/v2.0#ConsentStatus,,https://w3id.org/dpv/v2.0#ConsentStatusInvalidForProcessing,"An example of this state is when a Data Controller stops utilising previously obtaining consent, such as when that service no longer exists;An example of this state is when a Data Controller stops utilising previously obtaining consent, such as when that service no longer exists;An example of this state is when a Data Controller stops utilising previously obtaining consent, such as when that service no longer exists",2022-06-22,,dpv,https://w3id.org/dpv/v2.0
ConsentStatus,class,https://w3id.org/dpv/v2.0#ConsentStatus,Consent Status,The state or status of 'consent' that provides information reflecting its operational status and validity for processing data,,https://w3id.org/dpv/v2.0#Status,https://w3id.org/dpv/v2.0#Status,"States are useful as information artefacts to implement them in controlling processing, and to reflect the process and flow of obtaining and maintaining consent. For example, a database table that stores consent states for specific processing and can be queried to obtain them in an efficient manner. States are also useful in investigations to determine the use and validity of consenting practices;States are useful as information artefacts to implement them in controlling processing, and to reflect the process and flow of obtaining and maintaining consent. For example, a database table that stores consent states for specific processing and can be queried to obtain them in an efficient manner. States are also useful in investigations to determine the use and validity of consenting practices",2022-06-22,,dpv,https://w3id.org/dpv/v2.0
ConsentStatusInvalidForProcessing,class,https://w3id.org/dpv/v2.0#ConsentStatusInvalidForProcessing,Consent Status Invalid for Processing,States of consent that cannot be used as valid justifications for processing data,https://w3id.org/dpv/v2.0#ConsentStatus,,https://w3id.org/dpv/v2.0#ConsentStatus,This identifies the stages associated with consent that should not be used to process data;This identifies the stages associated with consent that should not be used to process data;This identifies the stages associated with consent that should not be used to process data,2022-06-22,,dpv,https://w3id.org/dpv/v2.0
ConsentStatusValidForProcessing,class,https://w3id.org/dpv/v2.0#ConsentStatusValidForProcessing,Consent Status Valid for Processing,States of consent that can be used as valid justifications for processing data,https://w3id.org/dpv/v2.0#ConsentStatus,,https://w3id.org/dpv/v2.0#ConsentStatus,"Practically, given consent is the only valid state for processing;Practically, given consent is the only valid state for processing;Practically, given consent is the only valid state for processing",2022-06-22,,dpv,https://w3id.org/dpv/v2.0
