term,type,iri,label,definition,dpvtype,subclassof,hasbroader,scopenote,created,modified,vocab,namespace
Access,class,https://w3id.org/dpv/v2.0#Access,Access,to access data,https://w3id.org/dpv/v2.0#Processing,,https://w3id.org/dpv/v2.0#Use,,2022-06-15,,dpv,https://w3id.org/dpv/v2.0
Acquire,class,https://w3id.org/dpv/v2.0#Acquire,Acquire,to come into possession or control of the data,https://w3id.org/dpv/v2.0#Processing,,https://w3id.org/dpv/v2.0#Obtain,,2019-05-07,,dpv,https://w3id.org/dpv/v2.0
Adapt,class,https://w3id.org/dpv/v2.0#Adapt,Adapt,"to modify the data, often rewritten into a new form for a new use",https://w3id.org/dpv/v2.0#Processing,,https://w3id.org/dpv/v2.0#Transform,,2019-05-07,,dpv,https://w3id.org/dpv/v2.0
Aggregate,class,https://w3id.org/dpv/v2.0#Aggregate,Aggregate,to aggregate data,https://w3id.org/dpv/v2.0#Processing,,https://w3id.org/dpv/v2.0#Alter,,2024-04-14,,dpv,https://w3id.org/dpv/v2.0
Align,class,https://w3id.org/dpv/v2.0#Align,Align,to adjust the data to be in relation to another data,https://w3id.org/dpv/v2.0#Processing,,https://w3id.org/dpv/v2.0#Transform,,2019-05-07,,dpv,https://w3id.org/dpv/v2.0
Alter,class,https://w3id.org/dpv/v2.0#Alter,Alter,to change the data without changing it into something else,https://w3id.org/dpv/v2.0#Processing,,https://w3id.org/dpv/v2.0#Transform,,2019-05-07,,dpv,https://w3id.org/dpv/v2.0
Analyse,class,https://w3id.org/dpv/v2.0#Analyse,Analyse,to study or examine the data in detail,https://w3id.org/dpv/v2.0#Processing,,https://w3id.org/dpv/v2.0#Use,,2019-05-07,,dpv,https://w3id.org/dpv/v2.0
Anonymise,class,https://w3id.org/dpv/v2.0#Anonymise,Anonymise,to irreversibly alter personal data in such a way that an unique data subject can no longer be identified directly or indirectly or in combination with other data,https://w3id.org/dpv/v2.0#Processing,,https://w3id.org/dpv/v2.0#Transform,,2019-05-07,,dpv,https://w3id.org/dpv/v2.0
Assess,class,https://w3id.org/dpv/v2.0#Assess,Assess,to assess data for some criteria,https://w3id.org/dpv/v2.0#Processing,,https://w3id.org/dpv/v2.0#Use,,2022-06-15,,dpv,https://w3id.org/dpv/v2.0
Collect,class,https://w3id.org/dpv/v2.0#Collect,Collect,to gather data from someone,https://w3id.org/dpv/v2.0#Processing,,https://w3id.org/dpv/v2.0#Obtain,,2019-05-07,,dpv,https://w3id.org/dpv/v2.0
Combine,class,https://w3id.org/dpv/v2.0#Combine,Combine,to join or merge data,https://w3id.org/dpv/v2.0#Processing,,https://w3id.org/dpv/v2.0#Transform,,2019-05-07,,dpv,https://w3id.org/dpv/v2.0
Consult,class,https://w3id.org/dpv/v2.0#Consult,Consult,to consult or query data,https://w3id.org/dpv/v2.0#Processing,,https://w3id.org/dpv/v2.0#Use,,2019-05-07,,dpv,https://w3id.org/dpv/v2.0
Copy,class,https://w3id.org/dpv/v2.0#Copy,Copy,to produce an exact reproduction of the data,https://w3id.org/dpv/v2.0#Processing,,https://w3id.org/dpv/v2.0#Processing,,2019-05-07,,dpv,https://w3id.org/dpv/v2.0
CrossBorderTransfer,class,https://w3id.org/dpv/v2.0#CrossBorderTransfer,Cross-Border Transfer,to move data from one jurisdiction (border) to another,https://w3id.org/dpv/v2.0#Processing,,https://w3id.org/dpv/v2.0#Transfer,,2024-04-14,,dpv,https://w3id.org/dpv/v2.0
Delete,class,https://w3id.org/dpv/v2.0#Delete,Delete,to remove data in a logical fashion i.e. with the possibility of retrieval,https://w3id.org/dpv/v2.0#Processing,,https://w3id.org/dpv/v2.0#Remove,,2024-04-14,,dpv,https://w3id.org/dpv/v2.0
