term,type,iri,label,definition,dpvtype,subclassof,hasbroader,scopenote,created,modified,vocab,namespace
AcademicResearch,class,https://w3id.org/dpv/v2.0#AcademicResearch,Academic Research,Purposes associated with conducting or assisting with research conducted in an academic context e.g. within universities,https://w3id.org/dpv/v2.0#Purpose,,https://w3id.org/dpv/v2.0#ResearchAndDevelopment,,2019-04-05,,dpv,https://w3id.org/dpv/v2.0
AccountManagement,class,https://w3id.org/dpv/v2.0#AccountManagement,Account Management,"Account Management refers to purposes associated with account management, such as to create, provide, maintain, and manage accounts",https://w3id.org/dpv/v2.0#Purpose,,https://w3id.org/dpv/v2.0#Purpose,,2021-09-08,,dpv,https://w3id.org/dpv/v2.0
Advertising,class,https://w3id.org/dpv/v2.0#Advertising,Advertising,"Purposes associated with conducting advertising i.e. process or artefact used to call attention to a product, service, etc. through announcements, notices, or other forms of communication",https://w3id.org/dpv/v2.0#Purpose,,https://w3id.org/dpv/v2.0#Marketing,Advertising is a subset of Marketing. Advertising by itself does not indicate 'personalisation' i.e. personalised ads.;Advertising is a subset of Marketing. Advertising by itself does not indicate 'personalisation' i.e. personalised ads.;Advertising is a subset of Marketing. Advertising by itself does not indicate 'personalisation' i.e. personalised ads.,2020-11-04,,dpv,https://w3id.org/dpv/v2.0
AgeVerification,class,https://w3id.org/dpv/v2.0#AgeVerification,Age Verification,Purposes associated with verifying or authenticating age or age related information as a form of security,https://w3id.org/dpv/v2.0#Purpose,,https://w3id.org/dpv/v2.0#Verification,"Age Verification can include verification of the exact age, e.g. being 21 years old, a date, e.g. birth date is 01 January 1969, or a condition, e.g. age is over 21 years and the person is an adult. Specific dedicated resources should be used to further express information and processes associated with Age Verification, for example the Age Verification Vocabulary https://w3id.org/age/;Age Verification can include verification of the exact age, e.g. being 21 years old, a date, e.g. birth date is 01 January 1969, or a condition, e.g. age is over 21 years and the person is an adult. Specific dedicated resources should be used to further express information and processes associated with Age Verification, for example the Age Verification Vocabulary https://w3id.org/age/;Age Verification can include verification of the exact age, e.g. being 21 years old, a date, e.g. birth date is 01 January 1969, or a condition, e.g. age is over 21 years and the person is an adult. Specific dedicated resources should be used to further express information and processes associated with Age Verification, for example the Age Verification Vocabulary https://w3id.org/age/",2024-02-14,,dpv,https://w3id.org/dpv/v2.0
CommercialResearch,class,https://w3id.org/dpv/v2.0#CommercialResearch,Commercial Research,Purposes associated with conducting research in a commercial setting or with intention to commercialise e.g. in a company or sponsored by a company,https://w3id.org/dpv/v2.0#Purpose,,https://w3id.org/dpv/v2.0#ResearchAndDevelopment;https://w3id.org/dpv/v2.0#CommercialPurpose,,2019-04-05,2024-04-14,dpv,https://w3id.org/dpv/v2.0
CommunicationForCustomerCare,class,https://w3id.org/dpv/v2.0#CommunicationForCustomerCare,Communication for Customer Care,"Customer Care Communication refers to purposes associated with communicating with customers for assisting them, resolving issues, ensuring satisfaction, etc. in relation to services provided",https://w3id.org/dpv/v2.0#Purpose,,https://w3id.org/dpv/v2.0#CommunicationManagement;https://w3id.org/dpv/v2.0#CustomerCare,,2020-11-04,,dpv,https://w3id.org/dpv/v2.0
CommunicationManagement,class,https://w3id.org/dpv/v2.0#CommunicationManagement,Communication Management,Communication Management refers to purposes associated with providing or managing communication activities e.g. to send an email for notifying some information,https://w3id.org/dpv/v2.0#Purpose,,https://w3id.org/dpv/v2.0#Purpose,"This purpose by itself does not sufficiently and clearly indicate what the communication is about. As such, it is recommended to combine it with another purpose to indicate the application. For example, Communication of Payment.;This purpose by itself does not sufficiently and clearly indicate what the communication is about. As such, it is recommended to combine it with another purpose to indicate the application. For example, Communication of Payment.;This purpose by itself does not sufficiently and clearly indicate what the communication is about. As such, it is recommended to combine it with another purpose to indicate the application. For example, Communication of Payment.",2021-09-01,,dpv,https://w3id.org/dpv/v2.0
CounterMoneyLaundering,class,https://w3id.org/dpv/v2.0#CounterMoneyLaundering,Counter Money Laundering,"Purposes associated with detection, prevention, and mitigation of mitigate money laundering",https://w3id.org/dpv/v2.0#Purpose,,https://w3id.org/dpv/v2.0#FraudPreventionAndDetection,,2022-04-20,,dpv,https://w3id.org/dpv/v2.0
Counterterrorism,class,https://w3id.org/dpv/v2.0#Counterterrorism,Counterterrorism,"Purposes associated with activities that detect, prevent, mitigate, or otherwise perform activities to combat or eliminate terrorism (also referred to as anti-terrorism)",https://w3id.org/dpv/v2.0#Purpose,,https://w3id.org/dpv/v2.0#PublicBenefit,,2022-04-20,2024-04-14,dpv,https://w3id.org/dpv/v2.0
CreditChecking,class,https://w3id.org/dpv/v2.0#CreditChecking,Credit Checking,"Purposes associated with monitoring, performing, or assessing credit worthiness or solvency",https://w3id.org/dpv/v2.0#Purpose,,https://w3id.org/dpv/v2.0#CustomerSolvencyMonitoring,,2022-04-20,,dpv,https://w3id.org/dpv/v2.0
