term,type,iri,label,definition,dpvtype,subclassof,hasbroader,scopenote,created,modified,vocab,namespace
AvoidSource,class,https://w3id.org/dpv/v2.0/risk#AvoidSource,Avoid Source,Control that avoids the risk source,https://w3id.org/dpv/v2.0/risk#RiskControl,,https://w3id.org/dpv/v2.0/risk#SourceControl,,2024-05-19,,risk,https://w3id.org/dpv/v2.0/risk
ChangeConsequence,class,https://w3id.org/dpv/v2.0/risk#ChangeConsequence,Change Consequence,Control that changes Consequence,https://w3id.org/dpv/v2.0/risk#RiskControl,,https://w3id.org/dpv/v2.0/risk#ConsequenceControl,,2024-05-19,,risk,https://w3id.org/dpv/v2.0/risk
ChangeImpact,class,https://w3id.org/dpv/v2.0/risk#ChangeImpact,Change Impact,Control that changes Impact,https://w3id.org/dpv/v2.0/risk#RiskControl,,https://w3id.org/dpv/v2.0/risk#ImpactControl,,2024-05-19,,risk,https://w3id.org/dpv/v2.0/risk
ConsequenceControl,class,https://w3id.org/dpv/v2.0/risk#ConsequenceControl,Consequence Control,Risk Mitigation Measure that controls the Consequences,https://w3id.org/dpv/v2.0/risk#RiskControl,,https://w3id.org/dpv/v2.0/risk#RiskControl,,2024-05-19,,risk,https://w3id.org/dpv/v2.0/risk
ContainmentControl,class,https://w3id.org/dpv/v2.0/risk#ContainmentControl,Containment Control,Control to contain event,https://w3id.org/dpv/v2.0/risk#RiskControl,,https://w3id.org/dpv/v2.0/risk#RiskControl,,2024-05-19,,risk,https://w3id.org/dpv/v2.0/risk
DetectionControl,class,https://w3id.org/dpv/v2.0/risk#DetectionControl,Detection Control,Control to detect event,https://w3id.org/dpv/v2.0/risk#RiskControl,,https://w3id.org/dpv/v2.0/risk#RiskControl,,2024-05-19,,risk,https://w3id.org/dpv/v2.0/risk
HaltSource,class,https://w3id.org/dpv/v2.0/risk#HaltSource,Halt Source,Control that halts the risk source or prevents it from materialising,https://w3id.org/dpv/v2.0/risk#RiskControl,,https://w3id.org/dpv/v2.0/risk#SourceControl,,2024-05-19,,risk,https://w3id.org/dpv/v2.0/risk
IdentificationControl,class,https://w3id.org/dpv/v2.0/risk#IdentificationControl,Identification Control,Control to identify characteristics of event,https://w3id.org/dpv/v2.0/risk#RiskControl,,https://w3id.org/dpv/v2.0/risk#RiskControl,,2024-05-19,,risk,https://w3id.org/dpv/v2.0/risk
ImpactControl,class,https://w3id.org/dpv/v2.0/risk#ImpactControl,Impact Control,Risk Mitigation Measure that controls Impacts,https://w3id.org/dpv/v2.0/risk#RiskControl,,https://w3id.org/dpv/v2.0/risk#RiskControl,,2024-05-19,,risk,https://w3id.org/dpv/v2.0/risk
MonitorConsequence,class,https://w3id.org/dpv/v2.0/risk#MonitorConsequence,Monitor Consequence,Control that monitors a Risk Consequence,https://w3id.org/dpv/v2.0/risk#RiskControl,,https://w3id.org/dpv/v2.0/risk#MonitorControl,,2024-05-19,,risk,https://w3id.org/dpv/v2.0/risk
MonitorControl,class,https://w3id.org/dpv/v2.0/risk#MonitorControl,Monitor Control,Risk Mitigation Measure that uses controls to monitor events,https://w3id.org/dpv/v2.0/risk#RiskControl,,https://w3id.org/dpv/v2.0/risk#RiskControl,"Monitoring can be associated with characteristics such as assessing or detecting whether something is active, operational, performant, effective, has potential to materialise, is materialising, or has already materialised.;Monitoring can be associated with characteristics such as assessing or detecting whether something is active, operational, performant, effective, has potential to materialise, is materialising, or has already materialised.;Monitoring can be associated with characteristics such as assessing or detecting whether something is active, operational, performant, effective, has potential to materialise, is materialising, or has already materialised.",2024-05-19,,risk,https://w3id.org/dpv/v2.0/risk
MonitorImpact,class,https://w3id.org/dpv/v2.0/risk#MonitorImpact,Monitor Impact,Control that monitors a Risk Impact,https://w3id.org/dpv/v2.0/risk#RiskControl,,https://w3id.org/dpv/v2.0/risk#MonitorControl,,2024-05-19,,risk,https://w3id.org/dpv/v2.0/risk
MonitorRisk,class,https://w3id.org/dpv/v2.0/risk#MonitorRisk,Monitor Risk,Control that monitors a Risk,https://w3id.org/dpv/v2.0/risk#RiskControl,,https://w3id.org/dpv/v2.0/risk#MonitorControl,,2024-05-19,,risk,https://w3id.org/dpv/v2.0/risk
MonitorRiskControl,class,https://w3id.org/dpv/v2.0/risk#MonitorRiskControl,Monitor Control,Control that monitors another Control,https://w3id.org/dpv/v2.0/risk#RiskControl,,https://w3id.org/dpv/v2.0/risk#MonitorControl,,2024-05-19,,risk,https://w3id.org/dpv/v2.0/risk
MonitorRiskSource,class,https://w3id.org/dpv/v2.0/risk#MonitorRiskSource,Monitor Risk Source,Control that monitors a Risk Source,https://w3id.org/dpv/v2.0/risk#RiskControl,,https://w3id.org/dpv/v2.0/risk#MonitorControl,,2024-05-19,,risk,https://w3id.org/dpv/v2.0/risk
MonitorVulnerabilities,class,https://w3id.org/dpv/v2.0/risk#MonitorVulnerabilities,Monitor Vulnerabilities,Control that monitors a Risk Vulnerability,https://w3id.org/dpv/v2.0/risk#RiskControl,,https://w3id.org/dpv/v2.0/risk#MonitorControl,,2024-05-19,,risk,https://w3id.org/dpv/v2.0/risk
RecoveryControl,class,https://w3id.org/dpv/v2.0/risk#RecoveryControl,Recovery Control,Control to recover from event,https://w3id.org/dpv/v2.0/risk#RiskControl,,https://w3id.org/dpv/v2.0/risk#RiskControl,,2024-05-19,,risk,https://w3id.org/dpv/v2.0/risk
ReduceLikelihood,class,https://w3id.org/dpv/v2.0/risk#ReduceLikelihood,Reduce Likelihood,Control that reduces the likelihood of an event,https://w3id.org/dpv/v2.0/risk#RiskControl,,https://w3id.org/dpv/v2.0/risk#ReductionControl,,2024-05-19,,risk,https://w3id.org/dpv/v2.0/risk
ReduceSeverity,class,https://w3id.org/dpv/v2.0/risk#ReduceSeverity,Reduce Severity,Control that reduces the severity of an event,https://w3id.org/dpv/v2.0/risk#RiskControl,,https://w3id.org/dpv/v2.0/risk#ReductionControl,,2024-05-19,,risk,https://w3id.org/dpv/v2.0/risk
ReductionControl,class,https://w3id.org/dpv/v2.0/risk#ReductionControl,Reduction Control,Control that reduces the likelihood or severity of an event,https://w3id.org/dpv/v2.0/risk#RiskControl,,https://w3id.org/dpv/v2.0/risk#RiskControl,,2024-05-19,,risk,https://w3id.org/dpv/v2.0/risk
RemedyControl,class,https://w3id.org/dpv/v2.0/risk#RemedyControl,Remedy Control,Control to remedy consequences of event,https://w3id.org/dpv/v2.0/risk#RiskControl,,https://w3id.org/dpv/v2.0/risk#RiskControl,,2024-05-19,,risk,https://w3id.org/dpv/v2.0/risk
RemoveConsequence,class,https://w3id.org/dpv/v2.0/risk#RemoveConsequence,Remove Consequence,Control that removes Consequence i.e. prevents it from materialising,https://w3id.org/dpv/v2.0/risk#RiskControl,,https://w3id.org/dpv/v2.0/risk#ConsequenceControl,,2024-05-19,,risk,https://w3id.org/dpv/v2.0/risk
RemoveImpact,class,https://w3id.org/dpv/v2.0/risk#RemoveImpact,Remove Impact,Control that removes Impact i.e. prevents it from materialising,https://w3id.org/dpv/v2.0/risk#RiskControl,,https://w3id.org/dpv/v2.0/risk#ImpactControl,,2024-05-19,,risk,https://w3id.org/dpv/v2.0/risk
