term,type,iri,label,definition,dpvtype,subclassof,hasbroader,scopenote,created,modified,vocab,namespace
Auditor,class,https://w3id.org/dpv/v2.0/tech#Auditor,Auditor,"Actor that audits Technology for conformance to policies, standards, or legal requirements",https://w3id.org/dpv/v2.0/tech#Actor,,https://w3id.org/dpv/v2.0/tech#Partner,,2024-05-09,,tech,https://w3id.org/dpv/v2.0/tech
Customer,class,https://w3id.org/dpv/v2.0/tech#Customer,Customer,Actor that uses Technology directly or indirectly by providing it to Users,https://w3id.org/dpv/v2.0/tech#Actor,,https://w3id.org/dpv/v2.0/tech#Actor,,2024-05-09,,tech,https://w3id.org/dpv/v2.0/tech
Deployer,class,https://w3id.org/dpv/v2.0/tech#Deployer,Deployer,Actor that deploys Technology,https://w3id.org/dpv/v2.0/tech#Actor,,https://w3id.org/dpv/v2.0/tech#Actor,,2024-05-09,,tech,https://w3id.org/dpv/v2.0/tech
Designer,class,https://w3id.org/dpv/v2.0/tech#Designer,Designer,Actor that designs Technology,https://w3id.org/dpv/v2.0/tech#Actor,,https://w3id.org/dpv/v2.0/tech#Actor,,2024-05-09,,tech,https://w3id.org/dpv/v2.0/tech
Developer,class,https://w3id.org/dpv/v2.0/tech#Developer,Developer,Actor that develops Technology,https://w3id.org/dpv/v2.0/tech#Actor,,https://w3id.org/dpv/v2.0/tech#Producer,,2024-05-09,,tech,https://w3id.org/dpv/v2.0/tech
Distributor,class,https://w3id.org/dpv/v2.0/tech#Distributor,Distributor,Actor that distributes the Technology,https://w3id.org/dpv/v2.0/tech#Actor,,https://w3id.org/dpv/v2.0/tech#Actor,,2024-05-09,,tech,https://w3id.org/dpv/v2.0/tech
Evaluator,class,https://w3id.org/dpv/v2.0/tech#Evaluator,Evaluator,Actor that evaluates the performance of Technology,https://w3id.org/dpv/v2.0/tech#Actor,,https://w3id.org/dpv/v2.0/tech#Partner,,2024-05-09,,tech,https://w3id.org/dpv/v2.0/tech
Importer,class,https://w3id.org/dpv/v2.0/tech#Importer,Importer,Actor that imports the Technology within a jurisdiction,https://w3id.org/dpv/v2.0/tech#Actor,,https://w3id.org/dpv/v2.0/tech#Actor,,2024-05-09,,tech,https://w3id.org/dpv/v2.0/tech
Installer,class,https://w3id.org/dpv/v2.0/tech#Installer,Installer,Actor that installs Technology,https://w3id.org/dpv/v2.0/tech#Actor,,https://w3id.org/dpv/v2.0/tech#Actor,,2024-05-09,,tech,https://w3id.org/dpv/v2.0/tech
Maintainer,class,https://w3id.org/dpv/v2.0/tech#Maintainer,Maintainer,Actor that maintains Technology,https://w3id.org/dpv/v2.0/tech#Actor,,https://w3id.org/dpv/v2.0/tech#Actor,,2024-05-09,,tech,https://w3id.org/dpv/v2.0/tech
Manufacturer,class,https://w3id.org/dpv/v2.0/tech#Manufacturer,Manufacturer,Actor that manufactures Technology,https://w3id.org/dpv/v2.0/tech#Actor,,https://w3id.org/dpv/v2.0/tech#Actor,,2024-05-09,,tech,https://w3id.org/dpv/v2.0/tech
Operator,class,https://w3id.org/dpv/v2.0/tech#Operator,Operator,Actor that operates the Technology,https://w3id.org/dpv/v2.0/tech#Actor,,https://w3id.org/dpv/v2.0/tech#Actor,"Operator and User are similar concepts but may refer to different actors, for example in the scenario where the user determines what actions to perform on the technology and the operator executes these actions by operating the technology;Operator and User are similar concepts but may refer to different actors, for example in the scenario where the user determines what actions to perform on the technology and the operator executes these actions by operating the technology;Operator and User are similar concepts but may refer to different actors, for example in the scenario where the user determines what actions to perform on the technology and the operator executes these actions by operating the technology",2024-05-09,,tech,https://w3id.org/dpv/v2.0/tech
Owner,class,https://w3id.org/dpv/v2.0/tech#Owner,Owner,Actor that owns Technology,https://w3id.org/dpv/v2.0/tech#Actor,,https://w3id.org/dpv/v2.0/tech#Actor,,2024-05-09,,tech,https://w3id.org/dpv/v2.0/tech
Partner,class,https://w3id.org/dpv/v2.0/tech#Partner,Partner,Actor that provides services in the context of Technology,https://w3id.org/dpv/v2.0/tech#Actor,,https://w3id.org/dpv/v2.0/tech#Actor,"""Partner"" is a vague term and should not be used - instead the more specific terms provided in this vocabulary should be used. Partner refers to entities that provide services for the technology (as opposed to for using the technology) - for example to further develop or refine it, or to test or audit it.;""Partner"" is a vague term and should not be used - instead the more specific terms provided in this vocabulary should be used. Partner refers to entities that provide services for the technology (as opposed to for using the technology) - for example to further develop or refine it, or to test or audit it.;""Partner"" is a vague term and should not be used - instead the more specific terms provided in this vocabulary should be used. Partner refers to entities that provide services for the technology (as opposed to for using the technology) - for example to further develop or refine it, or to test or audit it.",2024-05-09,,tech,https://w3id.org/dpv/v2.0/tech
Producer,class,https://w3id.org/dpv/v2.0/tech#Producer,Producer,Actor that produces Technology,https://w3id.org/dpv/v2.0/tech#Actor,,https://w3id.org/dpv/v2.0/tech#Actor,,2024-05-09,,tech,https://w3id.org/dpv/v2.0/tech
Provider,class,https://w3id.org/dpv/v2.0/tech#Provider,Provider,Actor that provides Technology,https://w3id.org/dpv/v2.0/tech#Actor,,https://w3id.org/dpv/v2.0/tech#Actor,,2024-05-09,,tech,https://w3id.org/dpv/v2.0/tech
Purchaser,class,https://w3id.org/dpv/v2.0/tech#Purchaser,Purchaser,Actor that purchases Technology,https://w3id.org/dpv/v2.0/tech#Actor,,https://w3id.org/dpv/v2.0/tech#Actor,,2024-05-09,,tech,https://w3id.org/dpv/v2.0/tech
Subject,class,https://w3id.org/dpv/v2.0/tech#Subject,Subject,Actor that is subjected to the use or impact of Technology,https://w3id.org/dpv/v2.0/tech#Actor,,https://w3id.org/dpv/v2.0/tech#Actor,,2024-05-09,,tech,https://w3id.org/dpv/v2.0/tech
Supplier,class,https://w3id.org/dpv/v2.0/tech#Supplier,Supplier,Actor that supplies Technology,https://w3id.org/dpv/v2.0/tech#Actor,,https://w3id.org/dpv/v2.0/tech#Actor,,2024-05-09,,tech,https://w3id.org/dpv/v2.0/tech
SystemIntegrator,class,https://w3id.org/dpv/v2.0/tech#SystemIntegrator,System Integrator,Actor that integrates Technology in to (larger) systems,https://w3id.org/dpv/v2.0/tech#Actor,,https://w3id.org/dpv/v2.0/tech#Partner,,2024-05-09,,tech,https://w3id.org/dpv/v2.0/tech
User,class,https://w3id.org/dpv/v2.0/tech#User,User,Actor that uses Technology,https://w3id.org/dpv/v2.0/tech#Actor,,https://w3id.org/dpv/v2.0/tech#Customer,,2024-05-09,,tech,https://w3id.org/dpv/v2.0/tech
hasAuditor,property,https://w3id.org/dpv/v2.0/tech#hasAuditor,has auditor,Indicates technology auditor,,,https://w3id.org/dpv/v2.0/tech#hasActor,,2024-05-09,,tech,https://w3id.org/dpv/v2.0/tech
