term,type,iri,label,definition,dpvtype,subclassof,hasbroader,scopenote,created,modified,vocab,namespace
MarketAvailabilityStatus,class,https://w3id.org/dpv/v2.0/tech#MarketAvailabilityStatus,Market Availability Status,Status indicating whether Technology is available on the market,,https://w3id.org/dpv/v2.0/tech#TechnologyStatus,https://w3id.org/dpv/v2.0/tech#TechnologyStatus,,2024-05-09,,tech,https://w3id.org/dpv/v2.0/tech
MarketAvailable,class,https://w3id.org/dpv/v2.0/tech#MarketAvailable,Market Available,Status indicating Technology is available on the market,https://w3id.org/dpv/v2.0/tech#MarketAvailabilityStatus,,https://w3id.org/dpv/v2.0/tech#MarketAvailabilityStatus,,2024-05-09,,tech,https://w3id.org/dpv/v2.0/tech
MarketUnavailable,class,https://w3id.org/dpv/v2.0/tech#MarketUnavailable,Market Unavailable,Status indicating Technology is unavailable on the market,https://w3id.org/dpv/v2.0/tech#MarketAvailabilityStatus,,https://w3id.org/dpv/v2.0/tech#MarketAvailabilityStatus,,2024-05-09,,tech,https://w3id.org/dpv/v2.0/tech
NotProvided,class,https://w3id.org/dpv/v2.0/tech#NotProvided,Not Provided,Status indicating Technology has not been provided,https://w3id.org/dpv/v2.0/tech#ProvisionStatus,,https://w3id.org/dpv/v2.0/tech#ProvisionStatus,,2024-05-09,,tech,https://w3id.org/dpv/v2.0/tech
Provided,class,https://w3id.org/dpv/v2.0/tech#Provided,Provided,Status indicating Technology has been provided,https://w3id.org/dpv/v2.0/tech#ProvisionStatus,,https://w3id.org/dpv/v2.0/tech#ProvisionStatus,,2024-05-09,,tech,https://w3id.org/dpv/v2.0/tech
ProvisionStatus,class,https://w3id.org/dpv/v2.0/tech#ProvisionStatus,Provision Status,Status indicating whether Technology has been provided,,https://w3id.org/dpv/v2.0/tech#TechnologyStatus,https://w3id.org/dpv/v2.0/tech#TechnologyStatus,,2024-05-09,,tech,https://w3id.org/dpv/v2.0/tech
TechnologyReadinessLevel,class,https://w3id.org/dpv/v2.0/tech#TechnologyReadinessLevel,Technology Readiness Level (TRL),Indication of maturity of Technology (ISO 16290:2013),,https://w3id.org/dpv/v2.0/tech#TechnologyStatus,https://w3id.org/dpv/v2.0/tech#TechnologyStatus,,2024-05-09,,tech,https://w3id.org/dpv/v2.0/tech
TechnologyStatus,class,https://w3id.org/dpv/v2.0/tech#TechnologyStatus,Technology Status,"Status associated with development, deployment, and use of technology",,https://w3id.org/dpv/v2.0#Status,https://w3id.org/dpv/v2.0#Status,,2024-05-31,,tech,https://w3id.org/dpv/v2.0/tech
hasMarketAvailabilityStatus,property,https://w3id.org/dpv/v2.0/tech#hasMarketAvailabilityStatus,has market availability status,Indicates whether the technology is available on the market,,,https://w3id.org/dpv/v2.0#hasStatus,,2024-05-09,,tech,https://w3id.org/dpv/v2.0/tech
hasProvisionStatus,property,https://w3id.org/dpv/v2.0/tech#hasProvisionStatus,has provision status,Indicates whether the technology has been provided,,,https://w3id.org/dpv/v2.0#hasStatus,,2024-05-09,,tech,https://w3id.org/dpv/v2.0/tech
hasTRL,property,https://w3id.org/dpv/v2.0/tech#hasTRL,has TRL,Indicates technology maturity level,,,https://w3id.org/dpv/v2.0#hasStatus,,2024-05-09,,tech,https://w3id.org/dpv/v2.0/tech
