term,type,iri,label,definition,dpvtype,subclassof,hasbroader,scopenote,created,modified,vocab,namespace
Android,class,https://w3id.org/dpv/v2.0/tech#Android,Android,Android operating system,https://w3id.org/dpv/v2.0#Technology,,https://w3id.org/dpv/v2.0/tech#OS,,2022-06-15,,tech,https://w3id.org/dpv/v2.0/tech
AppStore,class,https://w3id.org/dpv/v2.0/tech#AppStore,Application Store,An application or platform for distribution of other applications,https://w3id.org/dpv/v2.0#Technology,,https://w3id.org/dpv/v2.0/tech#Application,,2022-06-15,,tech,https://w3id.org/dpv/v2.0/tech
Application,class,https://w3id.org/dpv/v2.0/tech#Application,Application,Application or Application Software,https://w3id.org/dpv/v2.0#Technology,,https://w3id.org/dpv/v2.0/tech#Software,,2022-06-15,,tech,https://w3id.org/dpv/v2.0/tech
CloudStorage,class,https://w3id.org/dpv/v2.0/tech#CloudStorage,Cloud Storage,Storage utilising cloud technologies,https://w3id.org/dpv/v2.0#Technology,,https://w3id.org/dpv/v2.0/tech#DataStorage,,2022-06-15,,tech,https://w3id.org/dpv/v2.0/tech
Cookie,class,https://w3id.org/dpv/v2.0/tech#Cookie,Cookie,A HTTP or web or internet cookie,https://w3id.org/dpv/v2.0#Technology,,https://w3id.org/dpv/v2.0/tech#LocalStorage,,2022-06-15,,tech,https://w3id.org/dpv/v2.0/tech
DataStorage,class,https://w3id.org/dpv/v2.0/tech#DataStorage,Data Storage,Technology associated with storage of data,https://w3id.org/dpv/v2.0#Technology,,https://w3id.org/dpv/v2.0/tech#Software,,2022-06-15,,tech,https://w3id.org/dpv/v2.0/tech
Database,class,https://w3id.org/dpv/v2.0/tech#Database,Database,"A database, database management system (DBMS), or application database",https://w3id.org/dpv/v2.0#Technology,,https://w3id.org/dpv/v2.0/tech#DataStorage,,2022-06-15,,tech,https://w3id.org/dpv/v2.0/tech
DesktopPC,class,https://w3id.org/dpv/v2.0/tech#DesktopPC,Desktop PC,A non-portable or fixed personal computer,https://w3id.org/dpv/v2.0#Technology,,https://w3id.org/dpv/v2.0/tech#PersonalComputer,,2022-06-15,,tech,https://w3id.org/dpv/v2.0/tech
Device,class,https://w3id.org/dpv/v2.0/tech#Device,Device,Device or computing device,https://w3id.org/dpv/v2.0#Technology,,https://w3id.org/dpv/v2.0/tech#Hardware,,2022-06-15,,tech,https://w3id.org/dpv/v2.0/tech
GNULinux,class,https://w3id.org/dpv/v2.0/tech#GNULinux,GNU/Linux,GNU/Linux operating system,https://w3id.org/dpv/v2.0#Technology,,https://w3id.org/dpv/v2.0/tech#OS,,2022-06-15,,tech,https://w3id.org/dpv/v2.0/tech
Hardware,class,https://w3id.org/dpv/v2.0/tech#Hardware,Hardware,Physical parts or components of the technology,https://w3id.org/dpv/v2.0#Technology,,https://w3id.org/dpv/v2.0#Technology,,2022-06-15,,tech,https://w3id.org/dpv/v2.0/tech
LaptopPC,class,https://w3id.org/dpv/v2.0/tech#LaptopPC,Laptop PC,A portal personal computer,https://w3id.org/dpv/v2.0#Technology,,https://w3id.org/dpv/v2.0/tech#PersonalComputer,,2022-06-15,,tech,https://w3id.org/dpv/v2.0/tech
LocalStorage,class,https://w3id.org/dpv/v2.0/tech#LocalStorage,Local Storage,Storage that is local (e.g. on device),https://w3id.org/dpv/v2.0#Technology,,https://w3id.org/dpv/v2.0/tech#DataStorage,,2022-06-15,,tech,https://w3id.org/dpv/v2.0/tech
MSWindows,class,https://w3id.org/dpv/v2.0/tech#MSWindows,Microsoft Windows,Microsoft Windows operating system,https://w3id.org/dpv/v2.0#Technology,,https://w3id.org/dpv/v2.0/tech#OS,,2022-06-15,,tech,https://w3id.org/dpv/v2.0/tech
